char,sent_n,token_i,word
0,1,0,Syria
10,1,2,begun
19,1,4,withdraw
32,1,6,troops
44,1,8,northern
57,1,10,southern
66,1,11,Lebanon
74,1,12,despite
84,1,14,large
90,1,15,rally
99,1,17,Beirut
109,1,19,support
121,1,21,Syrian
128,1,22,presence
139,2,25,Lebanese
148,2,26,Defence
156,2,27,Minister
165,2,28,Abdul
171,2,30,Rahim
177,2,31,Murad
183,2,32,said
188,2,33,troops
201,2,35,pull
218,2,39,eastern
226,2,40,Bekaa
232,2,41,Valley
242,2,43,Tuesday
255,2,46,refused
273,2,50,date
289,2,54,withdrawal
305,3,57,movement
327,3,61,troops
334,3,62,involved
365,3,68,days
374,3,71,said
380,4,73,Syria
392,4,76,total
408,4,79,soldiers
424,4,82,country
434,5,85,Earlier
445,5,88,peaceful
454,5,89,Hezbollah
464,5,91,organised
474,5,92,rally
480,5,93,saw
484,5,94,hundreds
496,5,96,thousands
509,5,98,people
528,5,102,streets
539,5,104,Beirut
560,5,108,support
576,5,111,Syrians
589,6,114,pro
593,6,116,Syrian
600,6,117,Lebanon
608,6,119,based
614,6,120,Shia
619,6,121,Muslim
626,6,122,organization
646,6,125,maintains
659,6,127,armed
665,6,128,militia
676,6,130,Lebanon
685,6,132,promised
699,6,134,rallies
718,6,136,Lebanon
727,7,138,According
740,7,140,Michel
747,7,141,Aoun
762,7,145,Prime
768,7,146,Minister
780,7,148,Lebanon
792,7,151,appears
809,7,154,turnout
821,7,156,artificially
834,7,157,inflated
849,7,160,Palestinian
862,7,162,Syrian
880,7,166,non
884,7,168,Lebanese
893,7,169,groups
900,7,170,attending
927,7,176,coercive
936,7,177,tactics
952,7,180,Syrian
959,7,181,intelligence
972,7,182,officials
984,8,185,Lebanese
993,8,186,opposing
1006,8,188,presence
1018,8,190,Syrian
1025,8,191,troops
1032,8,192,held
1037,8,193,counter
1045,8,195,rallies
1061,8,198,m
1063,8,199,away
1074,8,202,smaller
1082,8,203,turn
1087,8,205,outs
1094,9,208,Syria
1104,9,210,come
1115,9,212,increasing
1126,9,213,political
1136,9,214,pressure
1148,9,216,withdraw
1163,10,219,President
1173,10,220,George
1183,10,222,Bush
1188,10,223,said
1198,10,226,speech
1205,10,227,today
1213,10,230,Freedom
1226,10,232,prevail
1237,10,234,Lebanon
1246,11,236,All
1250,11,237,Syrian
1257,11,238,military
1266,11,239,forces
1277,11,241,intelligence
1290,11,242,personnel
1305,11,244,withdraw
1325,11,247,Lebanese
1334,11,248,elections
1354,11,251,elections
1370,11,254,free
1379,11,256,fair
1388,12,260,Lebanon
1396,12,261,plans
1405,12,263,hold
1412,12,265,general
1420,12,266,election
1438,12,270,Syrian
1445,12,271,troops
1456,12,273,intelligence
1469,12,274,officers
1488,12,277,present
1499,12,279,Lebanon
1517,12,282,country
1525,12,283,began
1533,12,285,peace
1539,12,287,keeping
1547,12,288,mission
1558,12,290,Lebanon
1583,12,295,following
1597,12,297,start
1606,12,299,Lebanon
1616,12,301,civil
1622,12,302,war
1632,13,305,forces
1639,13,306,withdrew
1664,13,311,suicide
1672,13,312,attack
1679,13,313,killed
1690,13,315,Marines
1699,14,317,Ever
1711,14,320,Syria
1727,14,324,strong
1734,14,325,political
1744,14,326,hold
1756,14,329,neighbour
1768,15,332,United
1775,15,333,Nations
1783,15,334,Resolution
1799,15,336,requires
1812,15,338,immediate
1826,15,340,complete
1835,15,341,withdrawal
1853,15,344,Syrian
1860,15,345,forces
1872,15,347,Lebanon
1881,16,349,France
1889,16,351,Russia
1897,16,353,Germany
1910,16,356,Saudi
1916,16,357,Arabia
1933,16,360,similar
1941,16,361,calls
