char,sent_n,token_i,word
0,1,0,On
3,1,1,Tuesday
11,1,2,afternoon
23,1,4,TAM
27,1,5,Linhas
34,1,6,Aéreas
41,1,7,Airbus
54,1,10,flight
70,1,14,crashed
84,1,16,attempting
97,1,18,landing
108,1,20,Congonhas
118,1,21,airport
130,1,24,São
134,1,25,Paulo
140,1,26,Brazil
152,2,29,plane
158,2,30,reportedly
169,2,31,skidded
185,2,34,wet
189,2,35,runway
197,2,37,crossed
207,2,39,busy
212,2,40,thoroughfare
232,2,42,careening
249,2,45,fuel
254,2,46,depot
264,2,48,warehouse
274,2,49,ultimately
285,2,50,bursting
299,2,52,flames
313,3,57,plane
319,3,58,accelerated
339,3,61,reached
351,3,63,end
362,3,66,runway
373,3,68,tried
400,3,74,avoid
410,3,76,road
423,3,80,crashed
440,3,83,building
453,3,85,exploded
464,3,88,Junior
471,3,89,Matos
477,3,90,told
482,3,91,AFP
489,4,94,Authorities
501,4,95,believe
522,4,99,people
529,4,100,onboard
541,4,102,plane
552,4,104,died
575,4,110,people
589,4,113,ground
600,4,115,feared
607,4,116,dead
622,5,121,Earlier
642,5,125,reports
659,5,128,Brazilian
669,5,129,media
686,5,132,people
708,5,137,plane
733,5,143,gas
737,5,144,station
751,5,147,taken
764,5,150,local
770,5,151,hospital
783,5,153,treatment
802,5,156,Brazilian
812,5,157,congressman
824,5,158,Júlio
830,5,159,Redecker
851,5,163,board
861,5,165,plane
870,6,168,Low
874,6,169,clouds
885,6,171,heavy
891,6,172,rain
901,6,174,reported
917,6,177,time
929,6,180,crash
936,7,182,Additionally
954,7,185,runway
971,7,189,history
982,7,191,problems
996,7,193,standing
1005,7,194,water
1012,8,196,Neither
1029,8,199,factors
1047,8,202,linked
1061,8,205,cause
1074,8,208,crash
1088,8,211,point
1096,9,214,Rodrigo
1104,9,215,Pinho
1111,9,217,state
1117,9,218,attorney
1127,9,220,said
1136,9,222,authorities
1153,9,224,thoroughly
1164,9,225,investigate
1180,9,228,determine
1194,9,230,cause
1207,9,233,identify
1224,9,236,responsible
