char,sent_n,token_i,word
0,1,0,Lien
5,1,1,Chan
11,1,3,chairman
23,1,5,Chinese
31,1,6,Kuomintang
43,1,8,KMT
53,1,12,leading
61,1,13,opposition
72,1,14,party
81,1,16,Taiwan
89,1,18,met
93,1,19,Hu
96,1,20,Jintao
104,1,22,Communist
114,1,23,Party
123,1,25,China
129,1,26,General
137,1,27,Secretary
155,1,31,Chinese
163,1,32,People
172,1,34,Hall
180,1,36,Beijing
189,1,38,China
198,1,40,Friday
206,2,42,Lien
211,2,43,called
222,2,45,visit
230,2,47,step
243,2,51,historical
254,2,52,bus
269,2,57,journey
280,2,59,peace
293,3,64,week
298,3,66,long
303,3,67,visit
309,3,68,takes
315,3,69,place
324,3,71,years
340,3,74,KMT
344,3,75,withdrawal
360,3,77,mainland
369,3,78,China
380,3,81,signals
392,3,83,end
399,3,85,hostilities
423,3,88,KMT
431,3,91,Nationalist
443,3,92,Party
454,3,95,CPC
459,4,97,From
486,4,104,parties
499,4,106,involved
513,4,109,bloody
520,4,110,civil
526,4,111,war
530,4,112,resulting
547,4,115,Nationalist
559,4,116,retreat
570,4,118,Taiwan
588,4,121,defeat
606,5,126,This
618,5,129,highest
626,5,130,level
632,5,131,exchange
657,5,135,parties
671,5,137,KMT
675,5,138,leader
682,5,139,Chiang
689,5,140,Kai
693,5,142,shek
702,5,144,CPC
706,5,145,leader
713,5,146,Mao
717,5,147,Zedong
724,5,148,met
731,5,150,Chongqing
748,5,153,end
759,5,156,Second
766,5,157,Sino
771,5,159,Japanese
780,5,160,War
787,5,162,August
800,6,165,Chiang
817,6,169,Chinese
825,6,170,head
833,6,172,state
844,6,175,Mao
856,6,179,guerrila
865,6,180,leader
873,6,182,tried
882,6,184,negotiate
894,6,186,truce
907,6,189,meeting
920,7,192,negotiations
933,7,193,fails
951,7,198,war
955,7,199,soon
960,7,200,ensued
969,8,203,Lien
974,8,204,called
988,8,207,Taiwanese
999,8,209,ROC
1004,8,211,government
1016,8,213,led
1024,8,215,independence
1037,8,217,leaning
1045,8,218,President
1055,8,219,Chen
1060,8,220,Shui
1065,8,222,bian
1074,8,225,follow
1085,8,227,meeting
1103,8,230,efforts
1114,8,232,peacemaking
1130,8,234,suppression
1149,8,237,independence
1162,8,238,movement
1173,9,241,I
1175,9,242,believe
1187,9,244,door
1201,9,247,opened
1210,9,250,said
1215,9,251,Lien
1222,10,254,How
1229,10,256,walk
1244,10,259,new
1248,10,260,future
1266,10,264,new
1270,10,265,outlook
1280,10,267,I
1282,10,268,think
1292,10,270,ruling
1299,10,271,party
1310,10,273,shoulder
1324,10,275,responsibility
1344,11,280,This
1354,11,283,historic
1363,11,284,meeting
1383,11,287,leaders
1402,11,291,parties
1412,11,294,Hu
1415,11,295,said
1430,11,298,historic
1439,11,299,televised
1449,11,300,handshake
1464,11,302,Lien
1472,11,304,Friday
1479,11,305,marking
1491,11,307,formal
1498,11,308,end
1505,11,310,hostilities
1519,12,313,As
1522,12,314,long
1535,12,317,sides
1541,12,318,place
1547,12,319,importance
1565,12,322,interests
1582,12,325,Chinese
1590,12,326,nation
1605,12,330,common
1612,12,331,prosperity
1630,12,334,compatriots
1650,12,337,sides
1663,12,340,strait
1682,12,345,able
1690,12,347,overcome
1703,12,349,differences
1717,13,352,Lien
1724,13,354,visit
1733,13,356,mainland
1742,13,357,China
1760,13,361,prompted
1776,13,364,mainland
1785,13,365,National
1794,13,366,People
1803,13,368,Congress
1814,13,370,recent
1821,13,371,passage
1834,13,374,law
1850,13,377,possible
1859,13,378,secession
1872,13,380,Taiwan
1880,13,382,including
1894,13,384,possible
1903,13,385,use
1911,13,388,nonpeaceful
1923,13,389,means
1942,13,393,imply
1948,13,394,military
1957,13,395,force
1980,13,401,increased
1990,13,402,tension
2016,13,406,countries
2028,14,409,Lien
2035,14,411,visit
2044,14,413,mainland
2053,14,414,China
2063,14,416,strongly
2072,14,417,opposed
2087,14,420,ruling
2094,14,421,Democratic
2105,14,422,Progressive
2117,14,423,Party
2124,14,425,DPP
2129,14,427,Chairman
2138,14,428,Su
2141,14,429,Tseng
2147,14,431,chang
2158,14,434,expressed
2174,14,437,tears
2186,14,441,rage
2199,14,445,stance
2206,14,446,taken
2215,14,448,Lien
2221,15,450,Su
2224,15,451,said
2231,15,454,Lien
2240,15,456,fully
2246,15,457,denied
2257,15,459,development
2277,15,462,value
2286,15,464,Taiwan
2295,15,466,democracy
2310,15,469,continued
2320,15,470,praised
2328,15,471,China
2337,16,473,During
2344,16,474,Lien
2351,16,476,visit
2360,16,478,China
2375,16,482,seen
2385,16,484,Lien
2390,16,485,took
2411,16,489,banquets
2421,16,491,shook
2427,16,492,hands
2438,16,494,Chinese
2446,16,495,leaders
2458,16,497,received
2467,16,498,gifts
2474,17,500,But
2497,17,506,Lien
2506,17,508,strongly
2515,17,509,criticized
2526,17,510,China
2536,17,512,passing
2548,17,514,anti
2553,17,516,secession
2563,17,517,law
2568,18,519,Lien
2581,18,521,voiced
2588,18,522,opposition
2607,18,524,China
2615,18,526,missiles
2624,18,527,targeting
2637,18,529,Taiwan
2656,18,534,oppose
2671,18,536,China
2679,18,538,military
2688,18,539,threat
2703,18,541,Taiwan
2717,19,546,agreements
2736,19,549,Lien
2756,19,553,effect
2766,19,555,ratified
2778,19,557,Taiwan
2787,19,559,government
2808,19,563,unlikely
2824,19,566,President
2834,19,567,Chen
2839,19,568,opposes
2851,19,570,accord
2862,19,572,favors
2869,19,573,Taiwanese
2879,19,574,independence
2904,19,580,Nationalists
2917,19,581,regain
2924,19,582,control
2939,19,585,government
2953,19,587,future
2960,19,588,elections
