char,sent_n,token_i,word
0,1,0,Diplomats
15,1,2,Pakistan
28,1,4,India
34,1,5,met
38,1,6,today
47,1,8,Islamabad
60,1,10,discuss
74,1,12,continuing
85,1,13,peace
91,1,14,efforts
100,2,16,Plans
120,2,20,Pakistani
130,2,21,President
140,2,22,Pervez
147,2,23,Musharraf
161,2,25,Indian
168,2,26,Prime
174,2,27,Minister
183,2,28,Manmohan
192,2,29,Singh
201,2,31,meet
209,2,33,New
213,2,34,York
221,2,36,September
241,3,41,president
255,3,43,prime
261,3,44,minister
274,3,46,expected
286,3,48,attend
297,3,50,United
304,3,51,Nations
312,3,52,General
320,3,53,Assembly
342,3,56,meetup
352,3,58,New
356,3,59,York
362,4,61,Discussion
382,4,64,items
395,4,67,New
399,4,68,York
404,4,69,agenda
411,4,70,occurred
420,4,71,today
435,4,74,continue
444,4,75,tomorrow
458,4,78,second
465,4,79,day
472,4,81,talks
480,5,84,Recent
487,5,85,talks
508,5,89,met
521,5,92,announcement
542,5,95,agreement
568,5,99,countries
588,5,101,missile
596,5,102,tests
611,5,105,signed
621,5,107,October
630,6,109,Although
639,6,110,Pakistan
652,6,112,India
663,6,114,informally
674,6,115,agreed
684,6,117,inform
714,6,122,missile
722,6,123,testing
730,6,124,activities
751,6,128,seek
758,6,130,formal
765,6,131,agreement
781,7,135,Asian
787,7,136,countries
797,7,137,began
803,7,138,seeking
811,7,139,peace
831,7,143,fighting
844,7,145,wars
854,7,147,control
865,7,149,Kashmir
875,8,152,When
880,8,153,Musharraf
894,8,155,Singh
900,8,156,met
912,8,159,April
924,8,162,called
937,8,164,peace
943,8,165,process
952,8,167,irreversible
967,9,170,However
981,9,173,statement
994,9,175,challenged
1008,9,177,continued
1018,9,178,terrorist
1028,9,179,activity
1040,9,181,Kashmir
