char,sent_n,token_i,word
0,1,0,Both
9,1,2,Dravida
17,1,3,Munnetra
26,1,4,Kazhagam
36,1,6,DMK
49,1,10,All
53,1,11,India
59,1,12,Anna
64,1,13,Dravida
72,1,14,Munnetra
81,1,15,Kazhagam
91,1,17,AIADMK
99,1,19,parties
112,1,21,announce
122,1,23,freebies
149,1,29,election
158,1,30,manifestos
176,1,33,lead
191,1,38,vote
203,1,41,south
209,1,42,Indian
216,1,43,state
225,1,45,Tamil
231,1,46,Nadu
237,2,48,Freebies
258,2,52,success
280,2,56,Tamil
286,2,57,Nadu
291,2,58,elections
306,2,60,DMK
310,2,61,lured
316,2,62,voters
326,2,64,announcing
337,2,65,free
342,2,66,colour
349,2,67,televisions
364,2,69,households
376,3,71,That
381,3,72,triumph
389,3,73,led
397,3,75,major
403,3,76,opposition
414,3,77,AIADMK
424,3,79,announce
433,3,80,similar
441,3,81,freebies
459,3,84,manifesto
469,3,85,published
479,3,86,Thursday
490,4,89,DMK
498,4,91,announced
508,4,92,free
513,4,93,laptops
524,4,95,college
532,4,96,students
542,4,98,kitchen
550,4,99,appliances
565,4,101,modern
572,4,102,networks
584,4,104,rural
590,4,105,regions
603,5,108,AIADMK
611,5,110,publishing
628,5,112,manifesto
638,5,113,later
645,5,115,expanded
669,5,120,promises
685,5,123,DMK
690,5,125,plus
695,5,126,offering
705,5,128,g
707,5,129,gold
712,5,130,mangalsutra
732,5,133,poor
738,5,135,monetary
747,5,136,help
756,5,138,rural
762,5,139,households
777,5,141,fishermen
788,5,143,free
793,5,144,rice
810,6,150,AIADMK
817,6,151,manifesto
827,6,152,addresses
837,6,153,larger
844,6,154,issues
860,6,158,taking
874,6,161,near
879,6,163,monopoly
895,6,166,cable
901,6,167,industry
910,6,168,television
921,6,169,industry
931,6,171,starting
940,6,172,new
944,6,173,Power
950,6,174,generation
961,6,175,plants
971,6,177,address
979,6,178,power
985,6,179,shortages
998,6,181,recent
1005,6,182,years
