char,sent_n,token_i,word
0,1,0,Pirates
13,1,2,hijacked
26,1,4,tankers
34,1,5,carrying
45,1,7,total
62,1,10,metric
69,1,11,tons
77,1,13,crude
83,1,14,oil
95,1,17,coast
104,1,19,Oman
116,1,22,Indian
123,1,23,Ocean
130,2,25,After
142,2,27,attacks
151,2,29,pirates
163,2,31,control
174,2,33,ships
188,2,36,hostages
198,2,38,pirates
206,2,39,recently
215,2,40,released
224,2,41,Keummi
238,2,45,South
244,2,46,Korean
251,2,47,ship
258,3,50,Early
264,3,51,Tuesday
276,3,54,Italian
284,3,55,ship
290,3,57,MV
293,3,58,Savina
300,3,59,Caylin
312,3,62,boarded
324,3,64,miles
330,3,65,east
338,3,67,Socotra
346,3,68,Island
358,4,71,oil
362,4,72,tanker
381,4,75,metric
388,4,76,tons
396,4,78,board
410,4,82,traveling
425,4,84,Sudan
434,4,86,Malaysia
444,5,88,Shots
455,5,90,fired
468,5,93,vessel
476,5,95,beginning
490,5,97,attacks
506,6,100,GMT
515,6,103,pirates
528,6,105,rocket
535,6,107,propelled
545,6,108,grenades
558,6,110,small
564,6,111,arms
570,7,113,At
577,7,115,time
587,7,118,tanker
602,7,121,miles
613,7,123,India
627,7,126,miles
638,7,128,Somalia
647,8,130,An
650,8,131,Italian
658,8,132,navy
663,8,133,spokesperson
676,8,134,stated
699,8,139,injured
726,8,143,crew
731,8,144,members
747,8,147,board
769,8,152,pirates
777,8,153,boarded
787,9,156,A
789,9,157,similar
797,9,158,attack
804,9,159,occurred
813,9,160,Wednesday
828,9,163,Greek
834,9,164,tanker
842,9,166,containing
861,9,168,metric
868,9,169,tons
876,9,171,oil
889,9,175,coast
898,9,177,Oman
904,10,179,Greek
910,10,180,company
918,10,181,Enesel
925,10,182,SA
935,10,185,manages
947,10,187,ship
953,10,189,reported
970,10,192,crew
975,10,193,members
991,10,196,board
1002,11,199,vessel
1013,11,201,headed
1025,11,203,Kuwait
1035,11,205,United
1042,11,206,States
1050,11,208,Gulf
1058,11,210,Mexico
1066,12,212,Irene
1072,12,213,SL
1091,12,218,contact
1108,12,221,owners
1125,12,224,attack
