char,sent_n,token_i,word
0,1,0,Thailand
11,1,2,Constitutional
26,1,3,Court
36,1,5,ruled
51,1,8,general
59,1,9,election
69,1,11,held
77,1,13,April
95,1,19,invalid
107,1,21,orders
116,1,23,fresh
122,1,24,poll
128,2,26,Thailand
147,2,30,middle
157,2,32,political
167,2,33,turmoil
185,2,36,election
205,2,40,called
215,2,42,Prime
221,2,43,Minister
230,2,44,Thaksin
238,2,45,Shinawatra
256,2,48,face
264,2,50,mounting
273,2,51,protests
289,3,56,constitutional
304,3,57,court
310,3,58,voted
332,3,64,elections
347,3,66,unconstitutional
368,3,68,voted
384,3,73,hold
391,3,75,new
395,3,76,election
406,3,79,said
411,3,80,Judge
417,3,81,Ura
421,3,82,Wangomklang
436,3,84,Monday
445,4,87,Earlier
458,4,90,opposition
469,4,91,parties
477,4,92,boycotted
491,4,94,April
497,4,95,poll
503,5,97,As
508,5,99,result
528,5,104,seats
534,5,105,remained
556,5,109,meant
562,5,110,parliament
586,5,114,formed
594,6,116,Thaksin
602,6,117,Shinawatra
618,6,120,prime
624,6,121,minister
638,6,124,unable
648,6,126,form
655,6,128,new
659,6,129,government
672,7,132,King
677,7,133,Bhumibol
686,7,134,Adulyadej
699,7,136,Thailand
715,7,139,intervene
728,7,141,resolve
740,7,143,crisis
748,8,145,He
751,8,146,described
765,8,148,situation
781,8,152,mess
791,8,155,said
800,8,157,parliament
819,8,160,opposition
830,8,161,presence
848,8,164,undemocratic
862,9,166,He
865,9,167,initiated
879,9,169,court
888,9,171,pass
895,9,173,ruling
905,9,175,bring
920,9,178,country
931,9,180,normalcy
946,10,184,crisis
953,10,185,began
964,10,187,Prime
970,10,188,Minister
979,10,189,Thaksin
987,10,190,Shinawatra
998,10,191,sold
1009,10,194,family
1016,10,195,stake
1025,10,197,telecoms
1034,10,198,company
1042,10,199,Shin
1047,10,200,Corporation
1062,10,202,January
1071,11,204,Massive
1079,11,205,protests
1093,11,207,held
1107,11,210,demanding
1121,11,212,resignation
1134,12,214,He
1137,12,215,dissolved
1151,12,217,parliament
1165,12,219,February
1178,12,221,called
1192,12,224,emergency
1202,12,225,election
1214,12,227,prove
1233,12,231,widespread
1244,12,232,public
1251,12,233,support
1260,13,235,Three
1266,13,236,main
1271,13,237,opposition
1282,13,238,parties
1290,13,239,decided
1301,13,241,boycott
1313,13,243,poll
1320,14,246,Thai
1325,14,247,Rak
1329,14,248,Thai
1334,14,249,Party
1341,14,251,TRT
1347,14,254,led
1354,14,256,Thaksin
1362,14,257,Shinawatra
1373,14,258,won
1388,14,263,votes
1401,14,266,election
1410,14,267,held
1418,14,269,April
1424,14,270,amid
1429,14,271,opposition
1440,14,272,boycotts
1450,15,274,But
1465,15,277,millions
1478,15,280,Reject
1486,15,282,votes
1493,15,284,That
1502,15,287,voters
1509,15,288,selecting
1520,15,290,None
1547,15,298,lead
1558,15,301,seats
1570,15,303,vacant
1585,15,306,Legislature
1597,15,307,unable
1607,15,309,set
1616,15,312,government
1628,16,314,Two
1632,16,315,rounds
1645,16,319,elections
1655,16,320,failed
1665,16,322,resolve
1677,16,324,crisis
1686,17,327,Soon
1713,17,332,intervention
1729,17,334,King
1734,17,335,Bhumibol
1743,17,336,Adulyadej
1762,17,340,judges
1774,17,342,Thailand
1791,17,345,main
1796,17,346,judicial
1805,17,347,institutions
1824,17,350,Supreme
1833,17,352,Administrative
1852,17,354,Constitutional
1867,17,355,courts
1876,17,357,met
1883,17,359,discuss
1895,17,361,situation
1907,18,364,Thailand
1918,18,366,ruling
1925,18,367,Thai
1930,18,368,Rak
1934,18,369,Thai
1939,18,370,Party
1946,18,372,TRT
1966,18,377,opposition
1977,18,378,Democrat
1986,18,379,party
1992,18,380,pledged
2003,18,382,Monday
2013,18,384,join
2022,18,386,new
2026,18,387,poll
2041,18,390,court
2047,18,391,ruling
