char,sent_n,token_i,word
4,1,1,Australia
14,1,2,Institute
28,1,5,Australian
39,1,6,research
48,1,7,organisation
71,1,10,consider
86,1,13,aligned
101,1,16,political
111,1,17,left
121,1,20,released
134,1,22,analysis
146,1,24,ideal
152,1,25,locations
168,1,28,nuclear
176,1,29,power
182,1,30,plant
191,1,32,Australia
203,2,35,According
220,2,38,institute
236,2,41,consulted
253,2,44,number
263,2,46,nuclear
271,2,47,energy
278,2,48,experts
290,2,50,determined
305,2,52,best
310,2,53,possible
319,2,54,sites
331,2,57,nuclear
339,2,58,power
345,2,59,reactor
356,2,61,Australia
373,3,64,sites
379,3,65,include
391,3,67,popular
399,3,68,holiday
407,3,69,destinations
423,3,71,Port
428,3,72,Stephens
440,3,74,New
444,3,75,South
450,3,76,Wales
460,3,78,Westernport
472,3,79,Bay
479,3,81,Victoria
494,4,85,institute
504,4,86,identified
515,4,87,sites
521,4,88,based
534,4,91,needs
543,4,93,nuclear
551,4,94,power
557,4,95,generators
569,5,97,They
574,5,98,said
588,5,101,important
598,5,102,criteria
618,5,106,site
636,5,111,coast
652,5,115,access
662,5,117,large
668,5,118,volumes
679,5,120,water
697,5,124,reactor
709,5,126,cooling
722,6,129,institute
732,6,130,found
738,6,131,inland
745,6,132,locations
763,6,135,suitable
776,6,138,Australia
788,6,140,inland
795,6,141,water
801,6,142,supplies
814,6,144,unreliable
846,6,150,committed
863,7,155,institute
878,7,157,reports
891,7,159,Port
896,7,160,Stephens
909,7,162,Westernport
921,7,163,Bay
925,7,164,meet
936,7,166,desirable
946,7,167,criteria
962,7,170,near
967,7,171,major
973,7,172,electricity
985,7,173,transmission
998,7,174,lines
1013,7,177,good
1018,7,178,rail
1027,7,180,port
1032,7,181,access
1043,7,183,imported
1052,7,184,fuel
1057,7,185,rods
1068,8,189,institute
1078,8,190,said
1088,8,192,unused
1095,8,193,fuel
1100,8,194,rods
1111,8,196,need
1122,8,199,imported
1137,8,203,spent
1143,8,204,fuel
1153,8,206,need
1164,8,209,stored
1174,8,211,perpetuity
1187,9,214,According
1204,9,217,institute
1218,9,220,Europe
1225,9,221,nuclear
1233,9,222,waste
1248,9,225,stored
1262,9,228,power
1268,9,229,plant
1276,9,231,site
1283,10,234,Dr
1286,10,235,Clive
1292,10,236,Hamilton
1302,10,238,executive
1312,10,239,director
1328,10,242,Australia
1338,10,243,Institute
1348,10,244,said
1362,10,247,government
1391,10,253,indication
1405,10,255,potential
1415,10,256,nuclear
1423,10,257,power
1429,10,258,sites
1455,10,264,small
1461,10,265,number
1471,10,267,sites
1492,10,271,suitable
1507,10,274,power
1513,10,275,generation
1524,10,276,reactor
1534,12,279,It
1544,12,282,clear
1562,12,285,Government
1581,12,288,considered
1602,12,291,proposed
1611,12,292,nuclear
1619,12,293,power
1625,12,294,plants
1640,12,297,located
1670,12,304,limited
1678,12,305,number
1688,12,307,suitable
1697,12,308,sites
1704,13,310,Other
1710,13,311,likely
1717,13,312,sites
1723,13,313,include
1735,13,315,Central
1743,13,316,Coast
1757,13,319,area
1762,13,320,south
1771,13,322,Wollongong
1785,13,324,NSW
1794,13,327,Sunshine
1803,13,328,Coast
1812,13,330,Queensland
1828,13,333,Port
1833,13,334,Phillip
1841,13,335,Bay
1849,13,337,Portland
1861,13,339,Victoria
1873,15,343,Mr
1876,15,344,Hamilton
1885,15,345,said
1899,15,348,institute
1913,15,350,decided
1924,15,352,investigate
1936,15,353,possible
1945,15,354,locations
1967,15,358,little
1974,15,359,point
1980,15,360,having
1989,15,362,nuclear
1997,15,363,debate
2013,15,366,possible
2022,15,367,sites
2032,15,369,identified
2049,17,373,Prime
2055,17,374,Minister
2068,17,376,said
2076,17,378,wants
2084,17,380,national
2093,17,381,debate
2106,17,383,nuclear
2114,17,384,power
2134,17,389,little
2141,17,390,point
2150,17,392,debating
2169,17,396,abstract
2181,18,400,Mayor
2190,18,402,Port
2195,18,403,Stephens
2205,18,405,Craig
2211,18,406,Baumann
2226,18,409,impressed
2243,18,412,Australia
2253,18,413,Institute
2265,18,415,findings
2275,19,417,He
2278,19,418,said
2295,19,422,opposed
2310,19,425,nuclear
2318,19,426,power
2324,19,427,facility
2339,19,429,built
2348,19,431,Port
2353,19,432,Stephens
2365,20,436,I
2378,20,440,like
2387,20,442,idea
2399,20,445,power
2405,20,446,station
2424,20,449,like
2429,20,450,Vailes
2436,20,451,Point
2448,20,453,stuck
2461,20,456,shores
2471,20,458,Port
2476,20,459,Stephens
2489,21,464,Obviously
2503,21,466,power
2509,21,467,station
2527,21,470,close
2536,21,472,transport
2547,21,474,obviously
2557,21,475,large
2563,21,476,volumes
2574,21,478,water
2588,21,481,grid
2603,21,485,meant
2612,21,487,service
2621,21,489,Mr
2624,21,490,Baumann
2632,21,491,said
2639,22,494,Mr
2642,22,495,Baumann
2662,22,498,suggest
2672,22,500,possible
2681,22,501,location
2696,22,504,power
2702,22,505,plant
2710,23,509,I
2714,23,511,suggest
2741,23,516,ships
2754,23,519,Garden
2761,23,520,Island
2772,23,522,stick
2781,23,524,right
2794,23,527,middle
2804,23,529,Sydney
2814,24,533,If
2821,24,535,government
2832,24,536,decided
2845,24,539,location
2857,24,541,Victoria
2872,24,544,nuclear
2880,24,545,power
2886,24,546,plant
2912,24,551,legal
2918,24,552,implications
2932,24,554,requiring
2946,24,556,federal
2954,24,557,government
2968,24,559,overturn
2977,24,560,state
2983,24,561,law
2997,24,565,difficult
3009,25,568,Victoria
3018,25,569,enacted
3030,25,571,Nuclear
3038,25,572,Activities
3050,25,574,Prohibitions
3064,25,576,Act
3082,25,580,states
3099,25,585,protect
3111,25,587,health
3119,25,589,welfare
3131,25,591,safety
3145,25,594,people
3155,25,596,Victoria
3171,25,599,limit
3177,25,600,deterioration
3198,25,603,environment
3224,25,607,dwell
3233,25,609,prohibiting
3249,25,611,establishment
3266,25,613,nuclear
3274,25,614,activities
3288,26,618,Under
3298,26,620,act
3303,26,622,nuclear
3311,26,623,power
3317,26,624,generation
3331,26,626,specified
3346,26,629,prohibited
3357,26,630,activity
