char,sent_n,token_i,word
0,1,0,Another
8,1,1,confirmed
18,1,2,case
26,1,4,bovine
33,1,5,spongiform
44,1,6,encephalopathy
60,1,8,BSE
69,1,12,mad
73,1,13,cow
77,1,14,disease
91,1,18,reported
100,1,19,today
113,1,22,Canadian
122,1,23,Food
127,1,24,Inspection
138,1,25,Agency
146,1,27,CFIA
157,2,31,infected
166,2,32,cow
174,2,34,found
187,2,37,province
199,2,39,Alberta
218,2,43,previous
227,2,44,cases
236,2,46,BSE
250,2,49,reported
266,2,52,past
271,2,53,year
281,3,56,cow
296,3,59,born
304,3,61,March
319,3,65,mere
324,3,66,months
339,3,69,ban
343,3,70,placed
357,3,73,CFIA
365,3,75,stop
374,3,77,use
385,3,80,feed
402,3,83,contain
415,3,86,specified
425,3,87,risk
442,3,89,material
459,3,92,known
468,3,94,carry
478,3,96,BSE
482,3,97,agent
493,4,100,cow
499,4,102,origin
515,4,105,unknown
529,5,109,CFIA
544,5,113,control
559,5,116,carcass
571,5,118,makes
577,5,119,clear
603,5,125,cow
611,5,127,entered
623,5,129,food
628,5,130,supply
637,6,133,A
639,6,134,team
647,6,136,experts
664,6,139,United
671,6,140,States
688,6,143,sent
699,6,147,evaluate
712,6,149,situation
734,6,153,recommendations
756,6,155,reopening
775,6,158,border
787,7,161,border
798,7,163,closed
808,7,165,beef
813,7,166,exports
837,7,170,incident
849,7,172,BSE
857,7,174,reported
869,7,176,Canada
881,8,179,closure
889,8,180,continues
902,8,182,cause
908,8,183,major
914,8,184,problems
927,8,186,Canadian
936,8,187,beef
941,8,188,farmers
953,8,190,depended
969,8,193,United
976,8,194,States
983,8,195,beef
988,8,196,market
