char,sent_n,token_i,word
0,1,0,As
15,1,4,million
23,1,5,government
34,1,6,workers
43,1,8,members
57,1,11,unions
65,1,13,went
73,1,15,strike
83,1,17,Tuesday
94,1,19,protest
107,1,22,government
118,1,23,decision
130,1,25,reduce
143,1,27,retirement
154,1,28,benefits
166,1,31,change
190,1,35,effect
200,1,37,October
214,2,41,strike
221,2,42,closed
228,2,43,thousands
241,2,45,schools
250,2,47,libraries
264,2,49,leisure
272,2,50,centres
281,2,52,disrupted
291,2,53,commuters
306,2,56,reduced
319,2,58,facilities
333,2,60,emergency
348,2,62,staffing
359,3,65,UNISON
366,3,66,claimed
391,3,71,million
399,3,72,workers
411,3,74,joined
422,3,76,strike
435,3,79,General
443,3,80,Secretary
453,3,81,Dave
458,3,82,Prentis
466,3,83,saying
479,3,86,overwhelming
500,3,89,strength
514,3,91,Lands
520,3,92,End
527,3,94,John
545,3,97,obviously
555,3,98,taken
565,3,100,Local
571,3,101,Government
582,3,102,Association
603,3,105,local
609,3,106,councils
621,3,108,surprise
637,4,113,benefits
646,4,114,change
660,4,117,effect
675,4,121,year
680,4,122,rule
694,4,127,Local
700,4,128,Government
711,4,129,Pension
719,4,130,scheme
733,4,133,allows
740,4,134,government
751,4,135,employees
764,4,137,retire
780,4,141,long
792,4,144,sum
805,4,147,age
819,4,150,years
828,4,152,employment
839,4,153,sum
852,4,157,greater
861,5,159,According
874,5,161,union
880,5,162,representatives
901,5,165,new
905,5,166,retirement
916,5,167,plan
924,5,169,targeted
936,5,171,lower
942,5,172,paid
947,5,173,employees
958,5,175,leaving
966,5,176,higher
973,5,177,paid
978,5,178,employees
991,5,180,enjoy
1006,5,183,benefits
1027,6,188,Ahead
1040,6,191,strike
1052,6,194,Local
1058,6,195,Government
1069,6,196,Association
1081,6,197,claimed
1098,6,200,changes
1106,6,201,proposed
1118,6,203,unions
1132,6,206,add
1150,6,212,year
1164,6,215,council
1172,6,216,taxpayer
1183,6,218,bill
1195,7,223,participating
1209,7,224,unions
1216,7,225,point
1234,7,229,likely
1251,7,233,largest
1259,7,234,strike
1269,7,236,Britain
