char,sent_n,token_i,word
9,1,2,Naval
15,1,3,Observatory
30,1,5,Washington
51,1,8,adjust
58,1,9,atomic
65,1,10,clocks
75,1,12,pausing
84,1,14,adding
94,1,17,second
111,1,21,let
115,1,22,time
120,1,23,pass
133,1,25,counting
153,1,29,Coordinated
165,1,30,Universal
175,1,31,Time
183,1,33,UTC
190,1,35,December
209,2,39,mark
214,2,41,time
224,2,43,occur
242,2,47,tick
247,2,48,prior
265,2,52,new
269,2,53,year
280,3,57,accuracy
292,3,59,atomic
299,3,60,clocks
309,3,62,based
324,3,65,resonance
337,3,67,caesium
368,3,74,define
389,3,80,second
403,3,83,length
413,3,85,time
436,3,88,cycles
446,3,90,vibration
464,3,93,pass
479,3,96,magnetic
488,3,97,field
499,4,100,resonate
508,4,101,constancy
521,4,103,caesium
529,4,104,exceeds
541,4,106,accuracy
557,4,109,Earth
565,4,111,rotation
585,4,114,Sun
591,5,117,Because
603,5,119,Earth
611,5,121,spin
621,5,123,fluctuate
638,5,126,lunar
644,5,127,tides
654,5,129,atmospheric
666,5,130,winds
677,5,133,International
691,5,134,Earth
697,5,135,Rotation
710,5,137,Reference
720,5,138,Systems
728,5,139,Service
747,5,143,request
759,5,146,leap
764,5,147,seconds
794,6,154,adjustment
817,6,158,UTC
