char,sent_n,token_i,word
0,1,0,East
5,1,1,Timorese
14,1,2,rebels
21,1,3,begun
27,1,4,disarming
37,1,5,Friday
54,1,9,rebel
60,1,10,leader
68,1,12,Lt
72,1,14,Cmdr
78,2,16,Alfredo
86,2,17,Reinado
103,2,21,men
107,2,22,handed
119,2,24,ammunition
146,2,29,dozen
152,2,30,weapons
163,2,32,Australian
174,2,33,peacekeepers
192,3,36,disarming
202,3,37,started
218,3,40,official
227,3,41,request
238,3,43,President
248,3,44,Xanana
255,3,45,Gusmão
267,3,47,week
278,4,51,disarming
288,4,52,process
296,4,53,requested
311,4,55,week
319,4,57,East
324,4,58,Timor
332,4,60,President
343,4,62,Xanana
350,4,63,Gusmão
358,4,65,started
366,4,66,today
375,4,68,Maubisse
388,4,71,Alfredo
396,4,72,Reinado
409,4,75,leader
423,4,78,military
432,4,79,rebels
440,4,81,handed
461,4,85,rifle
473,4,88,telescopic
484,4,89,sight
497,4,93,Australian
508,4,94,soldier
517,5,96,Followed
538,5,101,men
542,5,102,saluted
558,5,105,handed
576,5,108,weapons
585,6,110,As
588,6,111,Reinado
596,6,112,checked
619,6,116,unloaded
632,6,118,turned
653,6,123,Australian
664,6,124,soldier
678,6,127,noted
693,6,130,weapon
700,6,131,type
709,6,133,serial
716,6,134,number
725,7,137,In
733,7,139,ceremony
747,7,142,ninteenth
757,7,143,century
765,7,144,Portuguese
776,7,145,village
791,7,148,Reinado
801,7,150,rebel
807,7,151,group
813,7,152,camped
826,7,154,fleeing
838,7,156,Timorese
847,7,157,capital
856,7,159,Dili
864,7,161,April
871,7,163,Reinado
887,7,166,men
891,7,167,gave
902,7,170,automatic
912,7,171,rifles
928,7,174,pistols
953,8,179,stored
965,8,182,container
975,8,183,guarded
986,8,185,Australian
997,8,186,soldiers
1008,9,189,After
1014,9,190,delivering
1029,9,192,weapons
1037,9,193,Lt
1041,9,195,Cmdr
1047,10,197,Alfredo
1055,10,198,Reinado
1063,10,199,guaranteed
1079,10,202,press
1085,10,203,conference
1109,10,207,continue
1121,10,209,fulfill
1133,10,211,orders
1143,10,213,Xanana
1150,10,214,Gusmão
1159,11,217,Regarding
1173,11,219,polemic
1181,11,220,question
1200,11,223,continuation
1220,11,226,Timorese
1235,11,228,Prime
1241,11,229,Minister
1251,11,231,Mari
1256,11,232,Alkatiri
1269,11,235,power
1280,11,238,Commander
1290,11,239,clarified
1314,11,245,military
1329,11,248,Lieutenant
1340,11,249,Commander
1357,11,252,hierarchy
1374,11,255,Armed
1380,11,256,Forces
1409,11,264,fulfilling
1420,11,265,orders
1434,12,270,disarming
1444,12,271,process
1459,12,274,rebels
1467,12,276,weapons
1488,12,280,followed
1500,12,282,Gleno
1517,12,286,remaining
1527,12,287,rebel
1533,12,288,troops
1540,12,289,lead
1552,12,292,Lt
1556,12,294,Cmdr
1562,13,296,Marcos
1569,13,297,Tilman
1580,13,299,Alves
1586,13,300,Tara
1595,13,302,camped
1608,14,306,start
1621,14,309,process
1638,14,312,announced
1653,14,314,Thursday
1665,14,316,Marcos
1672,14,317,Tilman
1683,14,319,confirmed
1696,14,321,Army
1701,14,322,Brig
1707,15,324,Michael
1715,15,325,Slater
1723,15,327,commander
1740,15,330,Australian
1751,15,332,led
1755,15,333,forces
1767,16,336,announce
1788,16,340,hours
1800,16,342,President
1810,16,343,Xanana
1817,16,344,Gusmão
1829,16,346,proclaimed
1844,16,349,message
1859,16,352,Parliament
1880,16,356,hour
1893,16,359,second
1900,16,360,phase
1913,16,363,international
1927,16,364,military
1936,16,365,forces
1950,16,368,country
1962,16,370,arrived
1975,17,373,international
1989,17,374,military
1998,17,375,forces
2013,17,379,second
2020,17,380,phase
2026,17,381,starts
2039,17,384,leave
2045,17,385,Dili
2059,17,388,interior
2075,17,391,country
2084,17,393,leaving
2096,17,395,Timorese
2105,17,396,capital
2116,17,398,control
2131,17,401,international
2145,17,402,police
2152,17,403,forces
2161,18,406,According
2174,18,408,Army
2179,18,409,Brig
2185,19,411,Michael
2193,19,412,Slater
2210,19,416,speaking
2226,19,419,press
2235,19,421,Dili
2243,19,423,announce
2252,19,424,formally
2265,19,426,beginning
2282,19,429,disarming
2292,19,430,process
2305,19,433,international
2319,19,434,force
2331,19,437,guarantee
2341,19,438,protection
2360,19,442,rebels
2379,19,447,today
2389,19,449,disarmed
2402,19,452,way
2436,19,460,meeting
2449,19,462,aggressive
2460,19,463,intentions
2474,20,467,Questioned
2502,20,471,delivery
2518,20,474,weapons
2526,20,475,translates
2542,20,478,surrendering
2562,20,481,military
2571,20,482,rebels
2579,20,484,Mick
2584,20,485,Slater
2591,20,486,rejected
2605,20,488,classification
2621,20,490,pointing
2640,20,494,East
2645,20,495,Timor
2658,20,498,crossing
2669,20,500,civil
2675,20,501,war
2683,21,506,There
2694,21,509,civil
2700,21,510,war
2718,21,514,surrendering
2732,22,516,There
2740,22,518,yes
2746,22,520,internal
2755,22,521,dispute
2768,23,524,important
2784,23,527,create
2793,23,529,reliable
2802,23,530,climate
2822,23,534,population
2834,23,536,taking
2847,23,539,gradually
2857,23,540,return
2871,23,543,communities
2888,23,547,added
2896,24,550,First
2902,24,551,Prime
2908,24,552,Minister
2917,24,553,Mari
2922,24,554,Alkatiri
2935,24,556,Timorese
2944,24,557,Foreign
2952,24,558,Minister
2961,24,559,José
2966,24,560,Ramos
2972,24,561,Horta
2978,24,562,showed
2991,24,565,satisfied
3010,24,568,delivery
3026,24,571,rebels
3034,24,573,weapons
3045,25,577,It
3052,25,580,good
3057,25,581,start
3066,25,583,stabilize
3080,25,585,country
3089,26,587,I
3091,26,588,expect
3110,26,591,follow
3121,26,593,example
3131,26,596,Alkatiri
3140,26,597,pointed
3155,27,602,They
3174,27,606,harm
3203,27,612,pledged
3226,27,616,involve
3237,27,618,violence
3257,27,621,comrades
3273,27,624,defense
3281,27,625,force
3289,27,628,Ramos
3295,27,629,Horta
3301,27,630,said
3308,28,633,So
3325,28,637,boosted
3339,28,639,credibility
3356,28,643,added
3364,29,646,Regarding
3378,29,648,ex
3381,29,650,Lieutenant
3392,29,651,Gastão
3399,29,652,Salsinha
3409,29,654,spokesman
3430,29,658,individuals
3447,29,660,subscribed
3461,29,662,petition
3470,29,663,denouncing
3481,29,664,alleged
3489,29,665,practical
3499,29,666,discriminatory
3521,29,669,Timorese
3530,29,670,Armed
3536,29,671,Forces
3544,29,673,Marcos
3551,29,674,Tilman
3558,29,675,assured
3592,29,683,weapons
3603,30,687,Dismissed
3622,30,690,army
3630,30,692,March
3642,30,694,going
3651,30,696,strike
3661,30,698,complain
3673,30,700,discrimination
3693,30,703,rebels
3710,30,706,hiding
3724,30,709,mountains
3734,30,710,surrounding
3746,30,711,Dili
3762,30,715,start
3775,30,718,violence
3791,30,721,country
3811,30,725,months
3820,31,728,By
3823,31,729,request
3838,31,732,Timorese
3847,31,733,authorities
3862,31,736,force
3887,31,741,military
3900,31,743,police
3907,31,744,troops
3917,31,746,Australia
3928,31,748,New
3932,31,749,Zealand
3941,31,751,Malaysia
3954,31,753,Portugal
3963,31,754,started
3974,31,756,arrive
3984,31,758,Dili
3992,31,760,May
4009,31,766,establish
4019,31,767,order
4029,31,769,peace
4042,31,772,country
4059,31,776,violence
4068,31,777,wave
4078,31,779,caused
4089,31,781,death
4110,31,786,dozens
4120,31,788,people
4139,31,791,refugees
