char,sent_n,token_i,word
0,1,0,Pakistani
10,1,1,authorities
27,1,3,said
39,1,6,suspected
49,1,7,US
52,1,8,drone
58,1,9,attack
75,1,12,Afghan
82,1,13,border
92,1,15,believed
109,1,18,killed
119,1,20,Uzbek
125,1,21,militant
134,1,22,leader
146,1,24,links
155,1,26,al
158,1,28,Qaida
167,2,31,Pakistani
177,2,32,intelligence
190,2,33,officials
206,2,36,US
209,2,37,missile
217,2,38,strike
227,2,40,South
233,2,41,Waziristan
247,2,43,late
252,2,44,August
259,2,45,wounded
267,2,46,Tahir
273,2,47,Yuldashev
295,2,51,reportedly
306,2,52,died
317,2,55,days
322,2,56,later
330,3,59,Yuldashev
348,3,62,leader
362,3,65,Islamic
370,3,66,Movement
382,3,68,Uzbekistan
394,3,70,IMU
400,4,73,He
403,4,74,began
409,4,75,fighting
434,4,80,topple
441,4,81,Uzbekistan
454,4,83,government
467,5,86,A
469,5,87,Taliban
477,5,88,spokesman
491,5,90,denied
502,5,92,report
512,5,94,Yuldashev
524,5,96,death
535,6,99,Taliban
543,6,100,gave
552,6,102,refuge
562,6,104,northern
571,6,105,Afghanistan
603,6,112,led
607,6,113,invasion
625,6,117,analysts
634,6,118,believe
642,6,119,Yuldashev
660,6,122,fighters
669,6,123,fled
674,6,124,east
684,6,126,Pakistan
695,6,128,tribal
702,6,129,regions
712,7,132,Yuldashev
731,7,135,involved
743,7,137,insurgencies
759,7,139,Uzbekistan
771,7,141,Afghanistan
788,7,144,Pakistan
798,7,146,allegedly
817,7,149,goal
825,7,151,creating
837,7,153,Islamist
846,7,154,state
859,7,156,Central
867,7,157,Asia
874,8,160,Security
883,8,161,analyst
891,8,162,Khalid
898,8,163,Aziz
903,8,164,told
908,8,165,Voice
917,8,167,America
933,8,170,authorities
949,8,172,able
957,8,174,confirm
965,8,175,Yuldashev
977,8,177,death
1000,8,183,major
1006,8,184,blow
1018,8,187,militants
1028,8,188,operating
1041,8,190,Pakistan
1052,8,192,tribal
1059,8,193,regions
1069,9,196,Aziz
1074,9,197,says
1083,9,199,power
1089,9,200,vacuum
1096,9,201,left
1104,9,203,Yuldashev
1116,9,205,death
1128,9,207,provide
1138,9,209,good
1143,9,210,opportunity
1158,9,212,strike
1172,9,215,men
1189,9,219,Pakistani
1199,9,220,Taliban
1207,9,221,leader
1214,9,222,Hakimullah
1225,9,223,Mehsud
1239,9,226,stronghold
1253,9,228,believed
1271,9,232,South
1277,9,233,Waziristan
1291,10,237,For
1308,10,241,months
1333,10,247,blockade
1350,10,250,territory
1364,10,252,obviously
1378,10,254,Mehsouds
1391,10,256,feeling
1403,10,258,pinch
1411,10,261,said
1416,10,262,Khalid
1423,10,263,Aziz
1434,11,267,Pakistani
1444,11,268,military
1465,11,271,seen
1470,11,272,success
1485,11,275,prior
1491,11,276,campaign
1514,11,280,Swat
1519,11,281,Valley
1526,11,282,targeting
1536,11,283,militants
1547,12,285,But
1551,12,286,Aziz
1556,12,287,says
1564,12,289,expects
1576,12,291,military
1588,12,293,change
1599,12,295,strategy
1615,12,298,mountainous
1631,12,300,isolated
1640,12,301,region
1650,12,303,South
1656,12,304,Waziristan
1670,13,308,We
1677,13,310,going
1700,13,315,snowfall
1717,13,318,region
1750,13,325,difficult
1763,13,327,fight
1780,13,332,said
1787,14,335,So
1794,14,337,foresees
1803,14,338,counter
1811,14,340,terrorist
1821,14,341,operations
1844,14,344,large
1850,14,346,scale
1856,14,347,military
1865,14,348,operations
1882,14,351,Swat
1890,15,355,He
1893,15,356,says
1903,15,358,type
1911,15,360,strategy
1926,15,362,drain
1936,15,364,militants
1955,15,367,resources
1977,15,371,military
1991,15,374,better
1998,15,375,position
2010,15,377,respond
2025,15,380,threats
2044,15,383,arise
2067,15,387,country
2081,16,391,government
2092,16,392,insists
2110,16,396,launching
2124,16,398,major
2130,16,399,operation
2143,16,401,South
2149,16,402,Waziristan
2167,16,405,moment
2175,17,407,But
2179,17,408,UN
2182,17,409,officials
2209,17,413,civilians
2224,17,415,fled
2233,17,417,tribal
2240,17,418,area
2248,17,420,anticipation
2266,17,423,new
2270,17,424,military
2279,17,425,offensive
2295,18,429,IMU
2304,18,432,militant
2313,18,433,group
2328,18,436,formed
2344,19,440,It
2358,19,443,completely
2369,19,444,destroyed
2384,19,446,fighting
2402,19,449,Taliban
2418,19,451,US
2421,19,452,forces
2431,19,454,Afghanistan
2466,19,461,appeared
2481,19,464,regaining
2491,19,465,strength
2501,19,467,having
2508,19,468,opened
2515,19,469,training
2524,19,470,camps
2533,19,472,Waziristan
