char,sent_n,token_i,word
0,1,0,Tropical
9,1,1,Storm
15,1,2,Fung
20,1,4,wong
30,1,6,landfall
42,1,8,Ningbo
50,1,10,Zhejiang
59,1,11,Province
69,1,13,China
94,1,19,local
100,1,20,time
111,1,23,UTC
116,1,25,yesterday
128,1,27,bringing
145,1,30,reportedly
166,1,34,mph
171,1,36,winds
181,1,38,heavy
187,1,39,rains
195,2,42,China
201,2,43,prepared
218,2,46,storms
228,2,48,recalling
238,2,49,nearly
252,2,51,ships
262,2,53,boats
271,2,55,port
285,2,59,preemptive
296,2,60,evacuation
323,2,64,people
335,2,66,vulnerable
346,2,67,areas
353,3,69,Fung
358,3,71,Wong
367,3,73,moving
374,3,74,inland
382,3,76,northwards
397,3,78,eastwards
425,3,85,wind
430,3,86,speeds
445,3,89,possibility
460,3,91,wind
465,3,92,damage
479,3,94,diminish
506,3,98,continue
518,3,100,present
528,3,102,flooding
537,3,103,risk
547,4,106,storm
557,4,108,expected
569,4,110,hit
573,4,111,Shanghai
582,4,112,today
609,4,117,people
621,4,119,placed
631,4,121,standby
642,4,123,deal
652,4,125,possible
661,4,126,flooding
671,5,128,Fung
676,5,130,wong
693,5,133,lead
701,5,135,heavy
707,5,136,rain
715,5,138,Japan
725,5,140,South
731,5,141,Korea
737,5,142,bringing
758,5,146,threat
768,5,148,flash
774,5,149,floods
783,6,152,Prior
792,6,154,hitting
800,6,155,China
807,6,157,Fung
812,6,159,wong
821,6,161,previously
832,6,162,landed
842,6,164,Taiwan
857,6,167,Philippines
870,6,169,leading
878,6,170,directly
894,6,173,death
903,6,175,Taiwan
911,7,177,Philippine
922,7,178,officials
932,7,179,said
937,7,180,flooding
950,7,182,strong
957,7,183,winds
963,7,184,caused
972,7,186,minimum
987,7,189,deaths
1001,7,192,Philippines
1033,7,197,people
1040,7,198,displaced
1061,7,201,homes
