char,sent_n,token_i,word
0,1,0,Turkey
9,1,2,Chief
18,1,4,General
26,1,5,Staff
33,1,7,General
41,1,8,Yaşar
47,1,9,Büyükanıt
58,1,11,proposed
72,1,13,Greek
82,1,15,Turkish
90,1,16,fighters
106,1,18,fly
110,1,19,unarmed
118,1,20,flights
135,1,23,Aegean
143,2,25,This
148,2,26,follows
156,2,27,reports
169,2,29,Greek
179,2,31,Turkish
187,2,32,fighters
196,2,33,held
201,2,34,mock
206,2,35,dogfights
223,2,37,Russian
231,2,38,President
241,2,39,Vladimir
250,2,40,Putin
258,2,42,visit
267,2,44,Athens
279,2,46,month
287,3,49,Greek
293,3,50,Foreign
301,3,51,Ministry
310,3,52,spokesman
320,3,53,Giorgos
328,3,54,Koumoutsakos
341,3,55,said
351,3,57,Turkish
359,3,58,planes
378,3,62,air
389,3,65,time
398,3,67,denied
409,3,69,effort
419,3,71,confront
428,3,72,Greek
434,3,73,fighters
450,4,77,Büyükanıt
466,4,80,Thessaloniki
480,4,82,northern
489,4,83,Greece
507,4,87,Conference
525,4,90,Balkan
532,4,91,countries
542,4,92,Chiefs
552,4,94,Army
557,4,95,Staff
563,4,96,takes
569,4,97,place
580,4,100,met
588,4,102,Greek
594,4,103,counterpart
607,4,105,Admiral
615,4,106,Panayiotis
626,4,107,Chinofotis
639,5,110,Greece
648,5,112,Minister
660,5,114,National
669,5,115,Defence
677,6,116,Evangelos
687,6,117,Meimarakis
703,6,119,morning
711,6,120,declared
720,6,121,open
729,6,123,Conference
746,6,125,takes
752,6,126,place
761,6,128,Thermi
771,6,131,suburb
781,6,133,eastern
789,6,134,Thessaloniki
803,7,136,As
806,7,137,Meimarakis
817,7,138,said
833,7,141,opening
841,7,142,speech
853,7,145,dialogue
868,7,147,Balkan
875,7,148,countries
893,7,151,significant
906,7,153,characteristically
925,7,154,saying
939,7,157,dialogue
948,7,158,builds
955,7,159,bridges
970,8,163,Büyükanıt
982,8,165,visit
991,8,167,Greece
1018,8,173,country
1043,8,178,chief
1056,8,181,Turkish
1064,8,182,Army
1069,8,183,Forces
1077,9,185,According
1090,9,187,Turkish
1098,9,188,officials
1114,9,191,Büyükanıt
1129,9,193,visit
1139,9,195,Turkish
1147,9,196,Consulate
1160,9,198,Thessaloniki
1182,9,201,regarded
1198,9,204,birthplace
1209,9,205,house
1218,9,207,Kemal
1224,9,208,Ataturk
