char,sent_n,token_i,word
4,1,1,Turkish
12,1,2,government
27,1,4,come
38,1,6,fire
48,1,8,officials
61,1,10,Dogubayazit
86,1,14,siblings
95,1,15,died
114,1,19,strain
124,1,21,Bird
129,1,22,Flu
142,1,26,sending
157,1,28,resources
175,1,31,responding
186,1,32,quickly
208,1,36,region
221,2,40,mayor
230,2,42,Dogubayazit
243,2,44,Mukkades
252,2,45,Kubilay
261,2,47,claims
277,2,50,Turkish
285,2,51,government
296,2,52,sent
312,2,55,doctors
351,2,62,workers
362,2,64,destroy
370,2,65,poultry
384,3,69,government
404,3,72,accused
425,3,76,little
437,3,79,late
452,4,83,discovered
466,4,85,Turkish
474,4,86,poultry
485,4,88,December
502,5,93,Agriculture
514,5,94,Minister
523,5,95,Mehdi
529,5,96,Eker
534,5,97,dismissed
548,5,99,claim
555,5,101,saying
567,5,103,culling
578,5,105,infected
587,5,106,poultry
595,5,107,began
601,5,108,immediately
613,5,109,following
627,5,111,discovery
648,5,115,December
668,6,121,Questions
696,6,125,government
707,6,126,acted
713,6,127,aggressively
733,6,129,early
746,6,132,outbreak
755,6,133,emerged
766,6,135,officials
776,6,136,tried
785,6,138,contain
797,6,140,disease
812,6,143,Eker
817,6,144,said
831,6,147,confirmed
850,6,151,Turkey
862,6,154,provinces
880,6,157,suspected
909,7,164,number
919,7,166,confirmed
929,7,167,human
935,7,168,cases
952,7,172,Turkey
966,8,176,Three
986,8,180,died
1000,8,183,virus
1008,9,186,Several
1032,9,190,virus
1043,9,192,shown
1053,9,194,symptoms
1074,9,199,stable
1081,9,200,condition
1092,10,202,Authorities
1104,10,203,suggest
1121,10,206,strain
1142,10,211,deadly
1158,10,214,thought
1167,11,216,Of
1180,11,219,contracted
1195,11,221,virus
1204,11,223,Asia
1210,11,225,half
1215,11,226,died
1222,12,229,An
1231,12,232,year
1236,12,234,old
1240,12,235,child
1257,12,238,infected
1272,12,240,playing
1285,12,242,dying
1291,12,243,chickens
1309,12,246,released
1323,12,248,hospital
1334,13,251,Nationwide
1354,13,254,birds
1370,13,257,slaughtered
1388,13,260,attempt
1399,13,262,slow
1408,13,264,outbreak
1423,14,268,Agricultural
1436,14,269,ministry
1448,14,271,complaining
1480,14,277,workers
1491,14,279,Dogubayazit
1506,14,282,city
1526,14,287,culling
1553,14,293,month
1562,14,295,complete
1573,15,298,Experts
1591,15,301,warning
1604,15,304,possible
1613,15,305,pandemic
1623,15,307,prompting
1637,15,309,world
1643,15,310,bank
1651,15,312,release
1666,15,315,million
1677,15,317,aid
1684,15,319,assist
1691,15,320,countries
1701,15,321,combat
