char,sent_n,token_i,word
4,1,1,New
8,1,2,Zealand
16,1,3,police
31,1,6,investigating
49,1,8,deaths
59,1,10,male
64,1,11,twin
69,1,12,babies
90,1,16,suffered
112,1,19,head
117,1,20,injuries
136,2,25,babies
148,2,27,named
154,2,28,Chris
160,2,29,Kahui
170,2,31,Cru
174,2,32,Kahui
181,3,34,They
186,3,35,lived
197,3,38,auckland
206,3,39,house
220,3,42,family
227,3,43,members
236,4,45,Child
243,4,47,Youth
253,4,49,Family
265,4,51,removed
283,4,54,children
292,4,55,living
306,4,58,Mangere
314,4,59,home
325,5,63,police
336,5,65,investigating
352,5,67,double
359,5,68,homicide
382,5,72,babies
394,5,74,taken
404,5,76,life
409,5,77,support
420,5,79,Starship
429,5,80,Hospital
439,5,82,Auckland
453,6,85,twins
464,6,87,admitted
476,6,89,Starship
488,6,91,Tuesday
496,6,92,June
505,7,95,At
512,7,97,time
520,7,99,admission
540,7,102,suffered
554,7,104,head
559,7,105,injuries
576,7,108,suffered
592,7,111,broken
599,7,112,thigh
607,8,115,A
609,8,116,post
614,8,118,mortem
621,8,119,revealed
639,8,122,babies
650,8,124,died
660,8,126,numerous
669,8,127,injuries
682,8,129,brain
688,8,130,damage
704,8,133,police
718,8,136,tell
737,8,141,injuries
751,8,143,historical
764,9,146,New
768,9,147,Zealand
779,9,149,ranked
800,9,153,rate
808,9,155,child
814,9,156,murder
828,9,159,Organisation
845,9,161,Economic
854,9,162,Co
857,9,164,operation
871,9,166,Development
884,9,168,OECD
