char,sent_n,token_i,word
0,1,0,Another
8,1,1,mining
15,1,2,accident
24,1,3,occurred
36,1,5,Monday
51,1,9,city
59,1,11,Copiapó
68,1,13,Chile
84,1,17,miners
100,1,20,trapped
115,1,23,days
129,1,26,rescued
140,1,28,October
153,2,32,Two
157,2,33,miners
165,2,35,Homero
172,2,36,Aguirre
180,2,37,Aguirre
197,2,42,Daniel
204,2,43,Lazcano
222,2,48,killed
236,2,51,Los
240,2,52,Reyes
254,2,55,Quebrada
263,2,56,de
266,2,57,Puquios
275,2,59,located
286,2,61,kilometers
303,2,64,miles
310,2,66,east
318,2,68,Copiapó
327,2,70,according
340,2,72,La
343,2,73,Tercera
352,3,75,Both
357,3,76,workers
365,3,77,began
371,3,78,working
403,3,85,day
417,3,89,natives
428,3,91,Cabildo
439,3,94,town
447,3,96,Valparaíso
458,3,97,Region
466,4,99,Mauricio
475,4,100,Silva
482,4,102,aged
495,4,106,injured
510,4,109,eye
523,4,113,taken
536,4,116,Regional
545,4,117,Hospital
557,4,119,Copiapó
567,5,122,According
580,5,124,authorities
597,5,127,accident
606,5,128,occurred
622,5,131,mishandling
637,5,133,explosives
649,6,135,It
656,6,137,originally
667,6,138,reported
690,6,142,miner
705,6,145,killed
714,7,148,Mining
721,7,149,Minister
730,7,150,Laurence
739,7,151,Golborne
748,7,152,told
753,7,153,El
756,7,154,Mercurio
770,7,156,mining
777,7,157,companies
798,7,161,careful
816,7,164,works
849,7,171,mines
865,7,174,country
879,8,178,Los
883,8,179,Reyes
889,8,180,copper
901,8,182,belongs
912,8,184,Sociedad
921,8,185,Legal
927,8,186,Compañía
936,8,187,Minera
943,8,188,Del
947,8,189,Sur
952,8,191,Del
956,8,192,Sur
960,8,193,Mining
967,8,194,Company
976,8,196,Legal
982,8,197,Society
992,9,200,Golborne
1001,9,201,said
1028,9,207,authorized
1042,9,209,utilize
1050,9,210,explosives
1064,9,212,Sernageomín
1077,9,214,National
1086,9,215,Service
1097,9,217,Geology
1109,9,219,Mining
