char,sent_n,token_i,word
0,1,0,Two
4,1,1,pieces
14,1,3,suspected
24,1,4,plane
30,1,5,debris
37,1,6,found
43,1,7,washed
50,1,8,ashore
57,1,9,islands
72,1,12,Maldives
91,1,15,taken
105,1,18,Malaysia
126,1,21,analysis
136,1,23,Malaysia
145,1,24,announced
158,1,26,Sunday
170,2,29,pieces
182,2,31,found
193,2,33,Friday
201,3,35,Investigators
219,3,37,trying
229,3,39,determine
250,3,43,connected
263,3,45,Malaysia
272,3,46,Airlines
281,3,47,Flight
313,4,57,thing
339,4,64,determine
358,4,68,actually
370,4,70,plane
376,4,71,material
387,4,74,said
392,4,75,Liow
397,4,76,Tiong
403,4,77,Lai
408,4,79,Malaysia
419,4,81,transport
429,4,82,minister
448,4,86,press
454,4,87,conference
468,4,89,Sunday
481,5,93,objects
499,5,96,brought
520,5,100,investigation
534,5,101,team
544,5,103,determine
554,5,104,soon
571,5,108,debris
591,5,112,plane
603,6,116,Our
607,6,117,team
622,6,120,confirm
638,6,123,belong
650,6,126,plane
665,6,130,confirmation
691,6,135,pieces
706,6,138,sent
718,6,141,international
732,6,142,investigation
746,6,143,team
754,6,145,determine
792,6,154,added
804,7,158,surface
826,7,163,pieces
836,7,165,flat
860,7,170,constructed
876,7,173,honeycomb
886,7,174,material
897,8,177,During
908,8,179,press
914,8,180,conference
926,8,182,Liow
931,8,183,described
949,8,186,pieces
971,8,191,small
988,8,195,size
1001,8,198,hand
1013,9,203,debris
1024,9,205,reportedly
1035,9,206,found
1047,9,208,authorities
1064,9,210,searching
1074,9,211,Maldives
1083,9,212,islands
1101,9,215,possible
1110,9,216,debris
1118,10,218,Pieces
1128,10,220,debris
1140,10,222,resemble
1151,10,224,honeycomb
1161,10,225,material
1175,10,227,found
1186,10,230,beach
1192,10,231,owned
1205,10,234,Banyan
1212,10,235,Tree
1217,10,236,Vabbinfaru
1228,10,237,resort
1236,10,239,located
1251,10,242,Maldives
1260,10,243,island
1267,10,244,chain
1273,10,245,Kaafu
1279,10,246,Atoll
1286,11,248,Those
1292,11,249,pieces
1303,11,251,reported
1320,11,254,washed
1327,11,255,ashore
1343,11,258,resort
1350,11,259,island
1364,11,261,May
1376,12,265,investigation
1399,12,268,Maldives
1408,12,269,debris
1415,12,270,began
1426,12,273,result
1436,12,275,photos
1455,12,279,uploaded
1471,12,282,social
1478,12,283,networking
1489,12,284,website
1497,12,285,Facebook
1511,13,288,photos
1536,13,293,pieces
1546,13,295,debris
1559,13,298,appear
1572,13,301,flat
1608,13,311,honeycomb
1618,13,312,material
1628,14,314,Initially
1642,14,316,debris
1653,14,318,disposed
1668,14,321,trash
1682,14,324,reportedly
1693,14,325,sent
1705,14,328,garbage
1713,14,329,island
1720,14,330,Thilafushi
1738,14,333,trash
1747,14,335,sorted
1755,14,337,exported
1768,14,339,recycling
1782,14,342,burned
1790,15,344,Reports
1809,15,348,time
1818,15,350,debris
1829,15,352,collected
1847,15,356,suspected
1882,16,364,Investigators
1896,16,365,examined
1919,16,368,pieces
1929,16,370,debris
1941,16,372,washed
1948,16,373,ashore
1966,16,376,Maldives
1975,16,377,locations
1990,16,380,Baa
1994,16,381,Atoll
2008,16,384,islands
2019,16,386,Fehendhoo
2033,16,388,Fulhahdhoo
2049,16,391,found
2070,16,396,related
2084,16,399,aircraft
2095,17,402,My
2098,17,403,team
2107,17,405,witnessed
2121,17,407,debris
2149,17,413,negative
2159,18,415,They
2172,18,418,related
2202,18,424,plane
2208,18,425,material
2219,18,428,said
2224,18,429,Liow
2232,18,431,Friday
2240,19,433,Around
2247,19,434,August
2258,19,437,Abdulla
2266,19,438,Rasheed
2277,19,441,captain
2290,19,444,cargo
2296,19,445,boat
2307,19,447,recently
2316,19,448,capsized
2332,19,451,waters
2347,19,454,Maldives
2357,19,456,stated
2367,19,458,debris
2379,19,460,recently
2388,19,461,discovered
2401,19,464,From
2410,19,466,pictures
2426,19,469,debris
2433,19,470,found
2454,19,475,islands
2463,19,477,I
2476,19,480,certainly
2513,19,487,cargo
2527,19,490,carrying
2538,20,493,In
2541,20,494,late
2546,20,495,July
2554,20,498,piece
2565,20,501,wing
2570,20,502,known
2581,20,505,flaperon
2594,20,507,found
2600,20,508,washed
2607,20,509,ashore
2617,20,511,RÃ
2620,20,513,union
2626,20,514,Island
2638,21,517,Malaysian
2648,21,518,government
2659,21,519,stated
2687,21,526,according
2700,21,528,Chinese
2708,21,529,officials
2723,21,532,piece
2743,21,537,confirmed
2768,21,542,aircraft
2792,22,548,flying
2804,22,550,Kuala
2810,22,551,Lumpur
2818,22,553,Malaysia
2830,22,555,Beijing
2839,22,557,China
2846,22,559,vanished
2865,22,562,trace
2874,22,564,March
2889,23,569,All
2897,23,571,passengers
2912,23,573,crew
2921,23,575,believed
2936,23,578,dead
2942,24,580,On
2949,24,582,day
2957,24,584,plane
2963,24,585,went
2968,24,586,missing
2977,24,588,residents
2994,24,591,small
3000,24,592,Maldive
3008,24,593,island
3018,24,595,Kudahuvadhoo
3031,24,596,claimed
3047,24,599,seen
3060,24,603,low
3064,24,604,flying
3071,24,605,jumbo
3077,24,606,jet
3082,24,608,crash
3097,24,611,Indian
3104,24,612,Ocean
3111,25,614,Some
3121,25,616,noted
3131,25,618,colors
3138,25,619,appeared
3150,25,621,resemble
3169,25,625,Malaysia
3178,25,626,Airlines
3187,25,627,plane
3195,26,630,I
3206,26,633,seen
3213,26,635,jet
3217,26,636,flying
3227,26,638,low
3240,26,641,island
3255,27,644,We
3261,27,646,seen
3266,27,647,seaplanes
3281,27,650,I
3285,27,652,sure
3322,28,661,I
3348,28,667,doors
3361,28,670,plane
3367,28,671,clearly
3381,28,675,resident
3394,28,677,quoted
3404,28,679,saying
3418,28,682,newspaper
3428,28,683,Haveeru
3436,28,684,Daily
3443,29,686,Some
3448,29,687,claim
3458,29,689,plane
3464,29,690,appeared
3479,29,693,headed
3493,29,696,direction
3506,29,698,Diego
3512,29,699,Garcia
3524,29,702,Malaysian
3534,29,703,authorities
3551,29,705,discounted
3568,29,707,claims
3578,30,711,Based
3591,30,714,monitoring
3608,30,717,date
3617,30,720,indication
3631,30,722,Flight
3653,30,726,observed
3669,30,729,military
3678,30,730,radars
3692,30,733,country
3701,30,735,Maldives
3712,31,738,Furthermore
3729,31,741,data
3737,31,743,radars
3747,31,745,Maldives
3756,31,746,airports
3780,31,750,analysed
3793,31,752,shows
3802,31,754,indication
3820,31,757,said
3825,31,758,flight
3834,31,761,said
3839,31,762,Malaysia
3850,31,764,transport
3860,31,765,ministry
3876,31,768,time
3888,31,771,report
