char,sent_n,token_i,word
0,1,0,Following
10,1,1,elections
27,1,4,country
38,1,6,Kuwait
48,1,8,June
60,1,12,women
71,1,14,appointed
95,1,18,time
112,1,22,Kuwaiti
120,1,23,municipal
130,1,24,council
139,2,26,This
144,2,27,follows
154,2,29,historic
163,2,30,decision
175,2,32,May
187,2,35,granted
195,2,36,Kuwaiti
203,2,37,women
213,2,39,right
222,2,41,vote
231,2,43,run
239,2,45,public
246,2,46,office
256,2,48,future
263,2,49,elections
279,3,53,Kuwaiti
287,3,54,Minster
298,3,56,Social
305,3,57,Affairs
314,3,59,Faysal
321,3,60,al
324,3,62,Hajji
331,3,64,said
342,3,67,During
353,3,69,weekly
360,3,70,meeting
371,3,72,Sunday
383,3,75,cabinet
391,3,76,named
401,3,78,women
414,3,81,municipal
424,3,82,council
446,3,86,time
458,3,89,history
469,3,91,Kuwait
482,4,96,women
495,4,101,Sheikha
503,4,102,Fatima
510,4,103,al
513,4,105,Sabah
520,4,107,architect
534,4,109,member
548,4,112,Al
551,4,114,Sabah
557,4,115,ruling
564,4,116,family
573,5,119,Fawziya
581,5,120,al
584,5,122,Bahar
591,5,124,engineer
606,6,128,positive
615,6,129,developments
631,6,131,Kuwaiti
639,6,132,politics
658,6,135,praised
674,6,138,feminists
688,6,140,foreign
696,6,141,observers
712,7,145,decision
724,7,147,grant
730,7,148,women
740,7,150,vote
745,7,151,overcame
754,7,152,strong
761,7,153,resistance
775,7,155,pass
791,7,161,margin
808,8,165,remaining
818,8,166,Middle
825,8,167,Eastern
833,8,168,country
855,8,172,grant
861,8,173,women
871,8,175,right
880,8,177,vote
888,8,179,Saudi
894,8,180,Arabia
907,9,184,sixteen
915,9,185,members
930,9,188,council
942,9,190,divided
962,9,193,members
978,9,196,elected
989,9,198,popular
997,9,199,vote
1019,9,205,appointed
1038,10,209,elected
1046,10,210,members
1063,10,213,male
1079,10,216,conservative
1101,11,220,appointees
1125,11,224,women
1140,11,227,men
1144,11,228,considered
1161,11,231,liberals
1175,12,234,election
1188,12,236,appointment
1200,12,237,results
1214,12,239,need
1225,12,242,ratified
1241,12,245,Emir
1260,12,250,supportive
1278,12,253,efforts
1294,12,256,women
1304,12,258,right
1313,12,260,vote
1320,13,263,Although
1329,13,264,women
1344,13,267,eligible
1356,13,269,run
1364,13,271,elective
1373,13,272,office
1396,13,276,recent
1403,13,277,election
1422,13,281,expected
1434,13,283,vote
1443,13,285,run
1451,13,287,office
1461,13,289,Kuwait
1482,13,293,time
1492,13,295,beginning
1514,13,299,parliamentary
1528,13,300,elections
