char,sent_n,token_i,word
0,1,0,Eleven
7,1,1,protesters
19,1,3,including
34,1,5,members
45,1,7,Congress
60,1,10,arrested
72,1,12,charges
83,1,14,disorderly
94,1,15,conduct
106,1,17,unlawful
115,1,18,assembly
125,2,20,Protesting
140,2,22,ongoing
148,2,23,atrocities
166,2,26,Sudan
172,2,27,region
185,2,30,Tom
189,2,31,Lantos
197,2,33,D
199,2,35,Calif
209,2,39,Holocaust
219,2,40,survivor
236,2,43,founder
251,2,46,Congressional
265,2,47,Human
271,2,48,Rights
278,2,49,Caucus
286,2,51,said
300,2,54,steps
313,2,57,Sudanese
322,2,58,embassy
336,2,62,slaughter
353,2,65,people
363,2,67,Darfur
375,2,69,end
387,3,75,Sudanese
396,3,76,government
411,3,78,shown
417,3,79,total
423,3,80,disregard
441,3,83,wishes
455,3,86,global
463,3,88,civilized
473,3,89,community
484,4,91,I
494,4,94,optimism
513,4,98,actions
528,4,101,Sudanese
537,4,102,government
550,4,105,Lantos
557,4,106,said
564,5,109,Democratic
575,5,110,House
581,5,111,members
589,5,112,James
595,5,113,McGovern
608,5,115,John
613,5,116,Olver
622,5,118,Massachusetts
637,5,120,Sheila
644,5,121,Jackson
652,5,122,Lee
659,5,124,Texas
670,5,127,Jim
674,5,128,Moran
683,5,130,Virginia
714,5,135,arrested
727,5,137,released
742,5,139,paying
753,5,142,fines
771,5,145,arrested
796,5,150,Sudanese
805,5,151,embassy
815,6,154,Olver
821,6,155,said
828,6,158,We
836,6,160,hold
845,6,162,Sudanese
854,6,163,government
865,6,164,accountable
885,6,167,attacks
903,6,170,supported
926,6,174,citizens
938,6,176,Darfur
948,7,180,Meanwhile
959,7,182,President
969,7,183,Bush
974,7,184,met
983,7,186,Darfur
990,7,187,advocates
1005,7,189,Friday
1015,7,191,support
1026,7,193,rallies
1047,7,197,US
1055,7,199,weekend
1075,7,202,ongoing
1083,7,203,genocide
1095,7,205,western
1103,7,206,Sudan
1116,8,211,genocide
1128,8,213,Sudan
1137,8,215,unacceptable
1153,9,217,There
1167,9,220,rallies
1186,9,223,country
1197,9,225,send
1204,9,227,message
1219,9,230,Sudanese
1228,9,231,government
1248,9,234,genocide
1262,9,236,stop
1272,10,239,I
1274,10,240,want
1283,10,242,Sudanese
1292,10,243,government
1306,10,245,understand
1321,10,247,United
1328,10,248,States
1338,10,250,America
1363,10,254,solving
1376,10,256,problem
1386,10,259,Bush
1391,10,260,said
