char,sent_n,token_i,word
0,1,0,Over
9,1,2,weekend
18,1,4,millions
30,1,6,Americans
40,1,7,faced
50,1,9,new
54,1,10,ban
61,1,12,online
68,1,13,gambling
84,2,17,legislation
100,2,19,attached
117,2,22,Bill
122,2,23,Frist
135,2,26,Port
140,2,27,Security
149,2,28,bill
156,3,31,Many
168,3,34,public
175,3,35,companies
190,3,37,offer
196,3,38,online
203,3,39,gambling
222,3,42,quick
231,3,44,react
252,3,48,outlooks
268,3,51,legislature
281,4,53,Party
287,4,54,Gaming
320,4,60,said
340,4,64,shut
359,4,68,operations
373,4,70,President
383,4,71,Bush
388,4,72,signs
398,4,74,bill
408,4,76,law
413,5,78,This
418,5,79,sent
423,5,80,online
430,5,81,gambling
439,5,82,stocks
446,5,83,tumbling
460,5,85,Party
466,5,86,Gaming
473,5,87,leading
485,5,89,way
500,5,94,decrease
512,5,96,market
519,5,97,value
531,6,101,people
538,6,102,involved
551,6,104,awaiting
572,6,108,happens
598,6,113,weeks
