char,sent_n,token_i,word
0,1,0,A
2,1,1,compromise
17,1,3,reached
25,1,4,late
30,1,5,Monday
44,1,8,United
51,1,9,States
58,1,10,Senate
75,1,13,use
82,1,15,filibusters
110,1,18,judicial
119,1,19,nominees
131,1,21,President
141,1,22,George
151,1,24,Bush
157,2,26,Seven
163,2,27,Republicans
175,2,28,joined
187,2,30,seven
193,2,31,Democrats
215,2,35,deal
226,3,39,compromise
241,3,41,announced
254,3,43,Senator
262,3,44,John
267,3,45,McCain
289,4,52,McCain
296,4,53,said
303,4,56,We
311,4,58,reached
322,4,60,agreement
335,4,62,try
342,4,64,avert
350,4,66,crisis
364,4,69,United
371,4,70,States
378,4,71,Senate
389,4,73,pull
398,4,75,institution
422,4,79,precipice
460,4,87,view
482,4,94,lasting
490,4,95,impact
498,4,97,damaging
507,4,98,impact
521,4,101,institution
535,5,104,Future
542,5,105,nominees
556,5,107,continue
571,5,110,filibustered
594,5,113,terms
608,5,116,deal
629,5,121,extraordinary
643,5,122,circumstances
659,5,125,according
672,5,127,McCain
681,6,130,Bush
695,6,133,nominations
720,6,137,term
728,6,139,office
753,6,145,prevented
768,6,147,receiving
792,6,154,vote
804,6,157,Democrats
815,6,159,use
826,6,162,filibuster
842,7,165,filibuster
858,7,168,form
866,7,170,extended
875,7,171,debate
891,7,174,senators
900,7,175,hold
909,7,177,floor
918,7,179,speaking
927,7,180,continuously
950,7,184,unrelated
960,7,185,topics
977,7,189,purpose
988,7,191,delaying
999,7,193,decision
1009,8,195,Senate
1016,8,196,procedures
1027,8,197,require
1038,8,199,votes
1049,8,202,cloture
1061,8,206,term
1070,8,208,ending
1081,8,210,debate
1092,8,212,forcing
1102,8,214,vote
1108,9,216,Since
1114,9,217,Republicans
1126,9,218,hold
1150,9,224,seats
1163,9,227,Senate
1176,9,230,lack
1185,9,232,power
1194,9,234,force
1202,9,236,vote
1215,9,238,cooperation
1232,9,240,Senate
1239,9,241,Democrats
1251,10,244,Senate
1258,10,245,Majority
1267,10,246,Leader
1274,10,247,Bill
1279,10,248,Frist
1295,10,252,party
1308,10,255,deal
1314,11,257,Frist
1338,11,262,Senate
1345,11,263,Republicans
1367,11,267,planning
1379,11,269,push
1390,11,272,vote
1398,11,274,abolish
1410,11,276,use
1421,11,279,filibuster
1435,11,281,judicial
1444,11,282,nominees
1453,11,283,entirely
1463,12,285,This
1468,12,286,widely
1475,12,287,debated
1483,12,288,tactic
1491,12,290,called
1510,12,294,nuclear
1518,12,295,option
1534,12,300,constitutional
1549,12,301,option
1584,12,310,impetus
1603,12,313,current
1611,12,314,deal
1617,13,316,If
1625,13,319,nuclear
1633,13,320,option
1641,13,322,succeeded
1657,13,325,Senate
1664,13,326,Democrats
1678,13,328,threatened
1692,13,330,bring
1698,13,331,non
1702,13,333,vital
1708,13,334,business
1724,13,337,Senate
1736,13,340,halt
1744,13,342,protest
1754,14,345,Under
1764,14,347,current
1772,14,348,deal
1785,14,352,Senators
1794,14,353,agree
1803,14,355,vote
1812,14,357,cloture
1824,14,359,allow
1836,14,361,judicial
1845,14,362,nominees
1857,14,364,come
1867,14,367,vote
1873,14,369,Janice
1880,14,370,Rogers
1887,14,371,Brown
1894,14,373,William
1902,14,374,Pryor
1913,14,377,Priscilla
1923,14,378,Owen
1929,15,380,Two
1939,15,382,nominees
1969,15,388,deal
1991,15,393,filibustered
2005,15,395,William
2013,15,396,Myers
2023,15,398,Henry
2029,15,399,Saad
2036,16,402,Some
2044,16,404,Bush
2051,16,406,nominees
2070,16,409,waiting
2082,16,411,confirmation
2104,16,414,years
2111,17,416,Bush
2116,17,417,continues
2129,17,419,express
2137,17,420,support
2160,17,425,nominees
2176,17,428,request
2204,17,434,vote
2210,18,436,On
2213,18,437,Monday
2221,18,439,Bush
2226,18,440,said
2233,18,443,I
2248,18,447,position
2262,18,449,clear
2284,18,455,job
2294,18,458,pick
2299,18,459,people
2315,18,462,interpret
2329,18,464,Constitution
2347,18,467,use
2355,18,469,bench
2375,18,473,write
2381,18,474,law
2386,19,476,That
2398,19,479,I
2400,19,480,campaigned
2415,20,483,I
2417,20,484,said
2426,20,487,I
2434,20,490,President
2445,20,492,I
2452,20,494,pick
2457,20,495,people
2471,20,498,bring
2477,20,499,great
2483,20,500,credit
2497,20,503,bench
2504,21,505,And
2515,21,508,exactly
2528,21,510,I
2539,21,514,consistent
2555,21,516,judicial
2564,21,517,philosophy
2581,21,520,picks
2603,21,526,character
2620,21,529,people
2627,21,530,I
2629,21,531,pick
2635,22,533,And
2639,22,534,I
2641,22,535,expect
2674,22,543,vote
2682,23,545,And
2686,23,546,I
2688,23,547,think
2698,23,549,American
2707,23,550,people
2714,23,551,expect
2736,24,557,People
2743,24,558,ought
2759,24,562,fair
2764,24,563,hearing
2781,24,566,ought
2808,24,573,vote
2820,24,576,floor
2829,25,580,Senate
2836,25,581,Minority
2845,25,582,Leader
2852,25,583,Harry
2858,25,584,Reid
2864,25,586,Dem
2870,25,589,Nevada
2878,25,591,opposed
2886,25,592,Bush
2893,25,594,view
2903,25,597,statement
2913,25,598,Monday
2928,26,603,filibuster
2953,26,608,Senate
2967,26,611,important
2977,26,612,tools
2988,26,614,guarantees
2999,26,615,minorities
3012,26,617,voice
3027,26,620,government
3040,26,623,said
3045,26,624,Reid
