char,sent_n,token_i,word
4,1,1,biggest
17,1,3,stock
23,1,4,market
30,1,5,index
41,1,8,Dow
45,1,9,Jones
52,1,11,plunged
77,1,16,points
91,1,19,closing
99,1,20,bell
107,1,22,Tuesday
120,1,25,worst
126,1,26,single
133,1,28,day
137,1,29,decline
158,1,34,opening
173,1,37,markets
181,1,38,following
195,1,40,September
210,1,42,terrorist
220,1,43,attacks
233,2,46,slip
238,2,47,followed
252,2,51,sell
264,2,55,Chinese
272,2,56,markets
281,3,58,Other
287,3,59,stock
293,3,60,indices
314,3,65,Nasdaq
342,3,71,dipped
355,3,74,points
369,3,77,points
377,3,79,respectively
391,4,81,It
406,4,85,largest
414,4,86,single
421,4,88,day
425,4,89,decline
441,4,92,history
451,5,95,Analysts
460,5,96,blamed
471,5,98,slide
482,5,101,number
492,5,103,factors
514,5,110,Chinese
522,5,111,stock
528,5,112,exchanges
542,5,114,powered
550,5,115,upward
565,5,118,long
589,5,124,significant
601,5,125,correction
617,5,130,inflation
635,5,133,prices
645,5,135,bonds
655,5,137,equities
679,5,141,high
701,5,149,headed
715,5,152,economic
724,5,153,recession
735,6,155,Alan
740,6,156,Greenspan
750,6,157,indicated
763,6,159,Monday
784,6,163,economy
802,6,166,sustain
814,6,168,recent
821,6,169,growth
839,6,173,Dow
843,6,174,Industrials
855,6,175,set
859,6,176,day
866,6,180,day
870,6,181,records
886,6,184,White
892,6,185,House
898,6,186,signaled
910,6,188,Tuesday
932,6,192,revise
943,6,194,estimate
955,6,196,fourth
962,6,198,quarter
975,6,200,GDP
979,6,201,growth
997,6,205,annual
1004,6,206,rate
1022,6,210,percent
1038,6,213,initial
1046,6,214,forecast
1062,6,217,percent
1078,6,220,increasingly
1091,6,221,nervous
1108,6,224,figure
1121,6,226,come
1134,6,229,lower
1142,7,232,Around
1156,7,235,EST
1161,7,237,Reuters
1169,7,238,reported
1187,7,241,New
1191,7,242,York
1196,7,243,Stock
1202,7,244,Exchange
1215,7,246,implemented
1230,7,249,floor
1236,7,250,tradition
1246,7,251,restrictions
1259,7,252,meant
1268,7,254,curb
1277,7,256,sell
1292,8,261,decline
1305,8,263,occurred
1321,8,266,day
1332,8,269,plot
1340,8,271,assassinate
1357,8,273,Vice
1362,8,274,President
1372,8,275,Richard
1380,8,276,Cheney
1387,8,277,failed
1397,8,279,Afghanistan
