char,sent_n,token_i,word
0,1,0,British
8,1,1,drivers
26,1,4,urged
39,1,7,panic
45,1,8,buy
49,1,9,fuel
75,1,14,walkout
86,1,16,delivery
95,1,17,drivers
103,1,18,working
115,1,20,companies
125,1,21,delivering
139,1,23,Shell
145,1,24,petrol
152,1,25,stations
170,2,29,workers
183,2,31,walked
199,2,34,pay
203,2,35,disagreements
218,2,37,wanting
229,2,39,increase
247,2,42,current
255,2,43,pay
285,2,50,union
291,2,51,Unite
297,2,52,turned
316,2,57,minute
323,2,58,offer
342,3,64,Hoyer
348,3,65,UK
358,3,68,employs
366,3,69,tanker
373,3,70,drivers
385,3,72,Shell
392,3,74,said
399,3,77,We
402,3,78,extended
415,3,80,offer
433,3,84,limits
449,3,87,business
464,3,89,sustain
474,4,92,However
482,4,93,Unite
488,4,94,said
498,4,97,press
504,4,98,release
524,4,103,dispute
548,4,107,resolved
560,4,109,Shell
570,4,111,advanced
581,4,113,fraction
597,4,116,billions
609,4,118,pounds
619,4,120,profit
642,4,124,month
650,4,127,continuing
681,4,135,world
689,4,137,richest
697,4,138,companies
710,4,140,prepared
722,4,142,play
727,4,143,Pontius
735,4,144,Pilate
754,4,148,British
762,4,149,public
769,4,150,inconvenienced
796,4,153,settle
808,4,155,dispute
822,4,158,sum
826,4,159,smaller
843,4,162,chairman
854,4,164,pay
858,4,165,increase
872,4,167,year
879,4,170,Shell
885,4,171,admitted
903,4,174,walkout
917,4,176,leave
941,4,181,forecourts
960,4,183,fuel
974,5,187,UK
977,5,188,Petrol
984,5,189,Industry
993,5,190,Association
1012,5,193,represent
1022,5,194,oil
1026,5,195,refiners
1036,5,197,said
1046,5,199,forecourts
1077,5,204,days
1085,5,206,supply
1093,5,208,maintaining
1105,5,209,usual
1111,5,210,stocking
1120,5,211,levels
1128,6,213,Shell
1139,6,215,commented
1158,6,218,strike
1165,6,219,impact
1182,6,223,significant
1203,6,228,company
1211,6,229,runs
1238,6,236,petrol
1245,6,237,stations
1261,6,240,UK
1267,7,243,British
1275,7,244,Business
1284,7,245,Secretary
1295,7,247,John
1300,7,248,Hutton
1308,7,250,said
1323,7,254,strike
1349,7,260,disproportionate
1366,7,261,effect
1376,7,263,people
1386,7,265,Britain
1405,7,270,justified
1421,7,274,urged
1432,7,276,sides
1441,7,278,resume
1448,7,279,negotiations
1464,7,281,order
1473,7,283,settle
1484,7,285,dispute
1494,8,288,We
1507,8,291,working
1515,8,292,closely
1528,8,294,industry
1547,8,298,place
1553,8,299,detailed
1562,8,300,contingency
1574,8,301,plans
1583,8,303,reduce
1593,8,305,far
1600,8,307,possible
1613,8,309,disruption
1632,8,312,driving
1640,8,313,public
1652,8,317,added
1659,9,319,Unite
1667,9,321,press
1673,9,322,release
1686,9,324,confirms
1701,9,327,provision
1729,9,332,fire
1735,9,334,police
1750,9,337,emergency
1760,9,338,services
1772,11,342,Tanker
1779,11,343,drivers
1790,11,345,strike
1802,11,347,set
1809,11,349,picket
1816,11,350,lines
1833,11,354,Shell
1841,11,356,UK
1844,11,357,refineries
1856,11,359,including
1875,11,362,Stanlow
1884,11,364,Avonmouth
1895,11,366,Plymouth
1905,11,368,Pembroke
1915,11,370,Cardiff
1924,11,372,Kingsbury
1935,11,374,Basildon
1945,11,376,Grangemouth
1958,11,378,Aberdeen
1968,11,380,Inverness
1979,11,382,Jarrow
1990,11,384,Luton
1996,11,385,Airport
