char,sent_n,token_i,word
4,1,1,government
22,1,4,United
29,1,5,Kingdom
41,1,7,outlined
54,1,9,plans
68,1,12,development
87,1,15,Britain
97,1,17,railway
105,1,18,network
118,1,21,white
124,1,22,paper
130,1,23,presented
143,1,25,Parliament
161,1,28,Secretary
174,1,30,State
184,1,32,Transport
195,1,34,Ruth
200,1,35,Kelly
208,2,38,Ruth
213,2,39,Kelly
219,2,40,described
233,2,42,report
253,2,47,ambitious
263,2,48,strategy
276,2,50,growth
290,2,53,railways
310,2,57,years
321,2,60,announced
336,2,62,capacity
353,2,65,increased
366,2,67,cope
379,2,70,expected
392,2,73,growth
402,2,75,passenger
412,2,76,numbers
434,2,80,seven
440,2,81,years
460,2,86,billion
468,2,87,investment
485,3,91,government
502,3,94,continue
514,3,96,limit
524,3,98,rate
532,3,100,increase
544,3,102,regulated
554,3,103,tickets
569,3,106,include
577,3,107,standard
586,3,108,season
597,3,110,saver
603,3,111,tickets
617,3,115,maximum
637,3,120,inflation
652,3,123,plan
660,3,125,introduce
672,3,127,simplified
683,3,128,ticketing
693,3,129,structure
711,3,132,basic
717,3,133,ticket
724,3,134,types
733,4,137,Today
741,4,139,announcement
759,4,141,extended
772,4,143,government
785,4,145,commitment
804,4,148,March
818,4,151,year
826,4,153,fund
831,4,154,extra
837,4,155,carriages
848,5,157,An
851,5,158,additional
866,5,160,brings
877,5,162,total
892,5,165,carriages
908,5,168,acquired
920,5,170,relieve
928,5,171,overcrowding
948,6,175,impact
962,6,178,investment
977,6,180,government
992,6,182,outlined
1009,6,185,concentrated
1025,6,187,tackling
1034,6,188,areas
1043,6,190,high
1048,6,191,overcrowding
1068,6,194,rail
1073,6,195,network
1082,7,197,In
1085,7,198,particular
1097,7,200,Ms
1100,7,201,Kelly
1110,7,203,highlighted
1124,7,205,number
1134,7,207,key
1138,7,208,projects
1154,8,211,include
1166,8,213,improvement
1181,8,215,Reading
1193,8,217,Birmingham
1204,8,218,New
1208,8,219,Street
1215,8,220,stations
1232,8,223,approval
1248,8,226,Thameslink
1259,8,227,modernisation
1273,8,228,programme
1290,9,232,stations
1310,9,235,network
1326,9,238,upgraded
1339,9,240,refurbished
1356,9,243,cost
1369,9,247,million
1383,10,251,largest
1391,10,252,opposition
1402,10,253,party
1413,10,256,Conservative
1426,10,257,Party
1433,10,259,greeted
1445,10,261,release
1463,10,264,scepticism
1475,10,266,saying
1491,10,269,paper
1497,10,270,contains
1507,10,272,reheated
1516,10,273,announcements
1539,10,276,years
1545,10,277,later
1556,10,279,promised
1567,11,282,A
1569,11,283,spokeswoman
1589,11,286,Liberal
1597,11,287,Democrats
1607,11,288,described
1626,11,293,missed
1633,11,294,opportunity
1649,11,297,encourage
1664,11,299,people
1674,11,301,use
1678,11,302,trains
1688,11,304,favour
1698,11,306,cars
1706,11,308,planes
1717,11,310,suggested
1744,11,315,investment
1755,11,316,outlined
1771,11,319,document
1789,11,322,announced
1808,12,326,George
1815,12,327,Muir
1828,12,331,Association
1843,12,333,Train
1849,12,334,Operating
1859,12,335,Companies
1875,12,337,represents
1890,12,339,companies
1900,12,340,providing
1910,12,341,passenger
1920,12,342,train
1926,12,343,services
1942,12,346,British
1950,12,347,rail
1955,12,348,network
1964,12,350,said
1978,12,353,white
1984,12,354,paper
2004,12,359,plausible
2014,12,360,plan
2023,12,362,expanding
2037,12,364,railway
2049,12,367,recent
2056,12,368,years
