char,sent_n,token_i,word
0,1,0,This
5,1,1,afternoon
19,1,3,RAF
23,1,4,launched
35,1,6,operation
48,1,8,rescue
55,1,9,nineteen
64,1,10,sailors
79,1,13,Spanish
87,1,14,trawler
98,1,16,difficulties
116,1,19,North
122,1,20,Atlantic
131,1,21,storm
139,2,24,Radio
145,2,25,contact
162,2,28,FV
165,2,29,Cibeles
177,2,31,lost
182,2,32,yesterday
192,2,33,evening
208,2,36,UTC
221,2,39,crew
226,2,40,reported
242,2,43,ship
249,2,45,owners
274,2,50,trouble
283,3,52,Last
288,3,53,night
295,3,55,UK
298,3,56,Coastguard
309,3,57,picked
321,3,60,satellite
331,3,61,emergency
341,3,62,beacon
348,3,63,signal
358,3,65,winds
364,3,66,reached
372,3,67,speeds
390,3,71,mph
396,4,74,This
401,4,75,morning
411,4,77,RAF
415,4,78,Nimrod
422,4,79,maritime
431,4,80,patrol
438,4,81,aircraft
447,4,82,located
459,4,84,ship
464,4,85,adrift
475,4,87,miles
489,4,90,Scottish
498,4,91,Western
506,4,92,Isles
513,5,94,A
515,5,95,nearby
522,5,96,tanker
534,5,99,Aegean
541,5,100,Spirit
549,5,102,diverted
567,5,105,intention
580,5,107,taking
591,5,109,trawler
602,5,111,tow
610,5,113,arrived
626,5,116,UTC
633,6,119,However
646,6,122,tanker
657,6,124,unable
676,6,128,trawler
687,6,130,tow
710,6,136,vessels
718,6,137,capable
729,6,139,towing
740,6,141,ship
745,6,142,nearby
757,6,145,Coastguard
768,6,146,Rescue
775,6,147,Seeking
783,6,148,helicopter
795,6,150,Mike
800,6,151,Uniform
813,6,154,launched
827,6,156,Stornoway
840,6,158,extract
852,6,160,crew
862,7,163,tanker
869,7,164,remained
881,7,166,scene
890,7,168,offer
901,7,170,protection
921,7,173,weather
930,7,175,currently
940,7,176,reported
952,7,178,gale
957,7,179,force
963,7,180,winds
973,7,182,rough
979,7,183,seas
