char,sent_n,token_i,word
0,1,0,United
7,1,1,Nations
15,1,2,Secretary
25,1,4,General
33,1,5,Ban
37,1,6,Ki
40,1,8,moon
49,1,10,expressed
59,1,11,concern
73,1,13,crises
83,1,15,Chad
89,1,17,Kenya
104,1,21,Sudan
120,2,25,chief
129,2,27,recently
148,2,30,Africa
164,2,33,attended
177,2,35,African
185,2,36,Union
191,2,37,summit
201,2,39,Ethiopia
214,2,41,met
223,2,43,leaders
234,2,45,Kenya
242,3,48,On
245,3,49,rebel
251,3,50,efforts
262,3,52,overthrow
276,3,54,government
290,3,56,Chad
298,3,58,recent
305,3,59,days
315,3,62,secretary
325,3,64,general
333,3,65,welcomed
345,3,67,African
353,3,68,Union
359,3,69,initiative
382,3,73,leaders
393,3,75,Libya
407,3,78,Democratic
418,3,79,Republic
430,3,81,Congo
436,3,82,mediate
448,3,84,crisis
456,4,86,He
459,4,87,says
468,4,89,United
475,4,90,Nations
495,4,94,utmost
505,4,96,help
510,4,97,resolve
522,4,99,crisis
530,4,101,urging
541,4,103,Security
550,4,104,Council
561,4,106,act
565,4,107,swiftly
576,4,109,help
581,4,110,bring
590,4,112,end
601,4,115,violence
613,5,119,It
620,5,121,devastating
632,5,122,consequences
662,5,127,people
672,5,129,Chad
681,5,131,Darfurian
691,5,132,refugees
700,5,133,seeking
708,5,134,shelter
736,5,140,Darfur
752,5,144,said
757,5,145,Ban
767,6,149,Ban
771,6,150,told
776,6,151,reporters
790,6,153,situation
807,6,156,neighboring
819,6,157,Darfur
826,6,158,region
836,6,160,Sudan
853,6,164,troubling
864,7,166,He
867,7,167,says
876,7,169,deployment
894,7,172,AU
902,7,175,peacekeeping
915,7,176,force
922,7,178,known
931,7,180,UNAMID
947,7,184,sped
959,7,187,urged
965,7,188,member
972,7,189,states
982,7,191,properly
991,7,192,equip
1001,7,194,troops
1011,8,198,UNAMID
1024,8,200,lacks
1030,8,201,required
1039,8,202,aviation
1052,8,204,ground
1059,8,205,transportation
1076,8,207,chiefly
1084,8,208,helicopters
1097,9,210,Additional
1108,9,211,troops
1141,9,218,shortfall
1153,9,221,said
1158,9,222,Ban
1164,10,225,Those
1170,10,226,countries
1185,10,228,called
1196,10,230,intervention
1212,10,232,Darfur
1229,10,235,special
1237,10,236,obligation
1251,10,238,deliver
1268,10,241,promises
1280,11,245,While
1293,11,248,AU
1296,11,249,summit
1308,11,252,Ban
1312,11,253,says
1320,11,255,discussed
1342,11,259,outstanding
1354,11,260,issues
1361,11,261,affecting
1375,11,263,deployment
1391,11,265,Sudanese
1400,11,266,President
1410,11,267,Omar
1415,11,268,al
1418,11,270,Bashir
1433,11,274,expects
1445,11,276,Status
1455,11,278,Forces
1462,11,279,Agreement
1473,11,281,SOFA
1485,11,285,signed
1497,11,287,week
1503,12,289,But
1511,12,291,Ban
1515,12,292,remained
1524,12,293,vague
1553,12,299,agreement
1565,12,301,sticking
1574,12,302,points
1591,12,306,night
1597,12,307,flights
1606,12,309,land
1611,12,310,agreements
1627,12,313,advance
1635,12,314,notice
1650,12,317,movements
1671,12,321,settled
1681,13,324,On
1684,13,325,Kenya
1695,13,328,Ban
1699,13,329,says
1716,13,333,deeply
1723,13,334,engaged
1738,13,337,post
1743,13,339,election
1752,13,340,crisis
1763,13,342,told
1768,13,343,political
1778,13,344,leaders
1797,13,347,visit
1819,13,351,bear
1824,13,352,particular
1835,13,353,responsibility
1858,13,356,future
1868,13,358,Kenya
1877,14,362,I
1879,14,363,stressed
1899,14,367,Kenyan
1906,14,368,leaders
1918,14,370,need
1926,14,372,stop
1935,14,374,unacceptable
1948,14,375,violence
1961,14,377,killings
1978,14,381,resolve
1992,14,383,differences
2012,14,385,dialogue
2025,14,387,democratic
2036,14,388,process
2045,15,390,I
2052,15,392,appealed
2072,15,396,political
2082,15,397,leaders
2093,15,399,think
2112,15,402,individual
2123,15,403,interests
2136,15,405,party
2142,15,406,lines
2155,15,409,look
2167,15,412,future
2177,15,414,Kenya
2190,15,417,country
2203,15,421,said
2214,16,425,Ban
2223,16,427,met
2230,16,429,Nairobi
2252,16,433,predecessor
2265,16,435,Kofi
2270,16,436,Annan
2284,16,440,leading
2296,16,442,panel
2305,16,444,eminent
2313,16,445,Africans
2322,16,446,trying
2332,16,448,mediate
2344,16,450,crisis
2356,16,453,said
2366,16,455,discussed
2380,16,457,roadmap
2396,16,460,talks
2404,17,463,Security
2421,17,466,personnel
2434,17,468,Africa
2464,17,473,high
2476,17,476,secretary
2486,17,478,general
2496,17,480,agenda
2504,17,482,especially
2522,17,485,wake
2534,17,488,December
2543,17,489,bombing
2554,17,491,Algeria
2567,17,493,killed
2577,17,495,staff
2583,17,496,members
2596,18,499,Ban
2600,18,500,announced
2621,18,504,naming
2628,18,505,diplomat
2637,18,506,Lakhdar
2645,18,507,Brahimi
2656,18,509,chair
2665,18,511,independent
2677,18,512,panel
2686,18,514,safety
2697,18,516,security
2714,18,519,personnel
2728,18,521,premises
2738,19,523,Brahimi
2752,19,526,Algerian
2770,19,530,Ban
2774,19,531,says
2789,19,535,concerns
2808,19,538,fairness
2820,19,540,objectivity
2835,19,542,heading
2850,19,545,panel
