char,sent_n,token_i,word
0,1,0,UN
3,1,1,Secretary
13,1,2,General
21,1,3,Kofi
26,1,4,Annan
32,1,5,fired
48,1,8,UN
51,1,9,official
63,1,11,connection
83,1,14,Iraqi
89,1,15,oil
97,1,19,food
102,1,20,scandal
112,2,23,After
120,2,25,thorough
129,2,26,review
143,2,29,aspects
158,2,32,case
168,2,35,Secretary
178,2,36,General
190,2,38,decided
207,2,41,Joseph
214,2,42,Stephanides
229,2,44,summarily
239,2,45,dismissed
261,2,48,misconduct
275,2,50,accordance
291,2,52,UN
294,2,53,staff
300,2,54,regulations
314,2,57,relayed
322,2,58,spokesman
332,2,59,Stephane
341,2,60,Dujarric
352,3,63,Mr
355,3,64,Stephanides
371,3,66,advised
379,3,67,accordingly
391,3,68,yesterday
405,3,70,separated
420,3,72,service
433,3,74,immediate
443,3,75,effect
451,4,77,There
463,4,80,allegation
481,4,83,criminal
490,4,84,act
495,5,86,This
505,5,89,disciplinary
518,5,90,action
531,5,93,breach
541,5,95,staff
547,5,96,rules
563,5,98,procurement
582,6,103,investigation
596,6,104,concluded
611,6,106,Stephanides
623,6,107,infringed
636,6,109,regulations
651,6,111,helping
663,6,113,British
671,6,114,company
680,6,116,Lloyds
687,6,117,Register
696,6,118,Inspection
713,6,121,win
719,6,123,contract
738,6,126,UN
741,6,127,programme
755,6,129,Iraq
765,7,132,Stephanides
777,7,133,acted
790,7,136,head
802,7,139,Security
811,7,140,Council
819,7,141,Affairs
827,7,142,Division
844,7,145,allegedly
854,7,146,told
863,7,148,company
883,7,152,lower
893,7,154,price
905,7,157,awarded
915,7,159,contract
925,8,161,He
928,8,162,denies
939,8,164,wrong
955,8,168,hired
963,8,170,lawyer
973,8,172,defend
989,9,175,Aged
998,9,178,Stephanides
1010,9,179,worked
1025,9,182,UN
1035,9,185,years
1057,9,191,retire
1067,9,193,September
1082,9,195,year
1089,10,198,After
1103,10,201,food
1112,10,205,oil
1116,10,206,interim
1124,10,207,report
1135,10,209,released
1147,10,211,February
1161,10,214,Stephanides
1184,10,217,Benon
1190,10,218,Sevan
1201,10,220,suspended
1212,11,222,Sevan
1230,11,226,head
1242,11,229,oil
1250,11,233,food
1255,11,234,programme
1271,11,237,years
1287,11,241,accused
1298,11,243,breach
1308,11,245,procurement
1320,11,246,rules
1333,11,249,report
1340,11,250,co
1343,11,252,written
1354,11,254,Paul
1359,11,255,Volcker
1368,12,257,However
1377,12,259,disciplinary
1390,12,260,measures
1407,12,262,Sevan
1425,12,266,carried
1452,12,271,status
1462,12,273,diplomatic
1473,12,274,immunity
1484,13,277,A
1486,13,278,final
1492,13,279,report
1502,13,281,scheduled
1516,13,283,publication
1537,13,286,months
1565,13,290,clarify
1585,13,293,Sevan
1591,13,294,received
1600,13,295,Iraqi
1606,13,296,oil
1610,13,297,allocations
1628,13,300,friend
1637,13,302,company
1646,14,304,In
1653,14,306,meantime
1666,14,309,remains
1674,14,310,suspended
1693,14,313,UN
1696,14,314,duties
1717,14,319,given
1730,14,322,symbolic
1739,14,323,salary
1753,14,326,dollar
1762,14,328,year
1769,15,331,A
1771,15,332,central
1783,15,334,unanswered
1794,15,335,question
1822,15,340,Stephanides
1837,15,342,Sevan
1843,15,343,profited
1852,15,344,directly
1870,15,347,actions
1881,15,349,executing
1895,15,351,implementing
1912,15,353,complex
1920,15,354,programme
