char,sent_n,token_i,word
4,1,1,director
13,1,2,general
33,1,6,Food
42,1,8,Agriculture
54,1,9,Organization
70,1,11,calling
87,1,14,investment
101,1,16,agriculture
120,1,19,developing
131,1,20,world
140,1,22,tackle
151,1,24,problem
162,1,26,food
167,1,27,insecurity
179,2,29,Jacques
187,2,30,Diouf
193,2,31,told
198,2,32,Parliamentarians
215,2,33,attending
235,2,36,Assembly
251,2,39,Inter
257,2,41,Parliamentary
271,2,42,Union
296,2,47,billion
304,2,48,people
315,2,50,going
321,2,51,hungry
345,2,56,investment
359,2,58,agriculture
382,2,61,past
391,2,63,decades
402,3,66,A
404,3,67,recent
411,3,68,study
424,3,71,Food
433,3,73,Agriculture
445,3,74,Organization
462,3,76,World
468,3,77,Food
473,3,78,Program
481,3,79,finds
513,3,86,billion
521,3,87,hungry
528,3,88,people
542,3,91,world
548,3,92,live
556,3,94,developing
567,3,95,countries
578,4,97,It
581,4,98,says
589,4,100,region
599,4,102,immune
610,4,104,hunger
620,4,106,expected
632,4,108,increase
665,4,114,developed
675,4,115,world
684,5,118,Jacques
692,5,119,Diouf
699,5,121,Director
708,5,122,General
723,5,125,Food
732,5,127,Agriculture
744,5,128,Organization
758,5,130,says
766,5,132,countries
786,5,136,situation
799,5,138,grave
805,5,139,food
810,5,140,crisis
818,5,142,requiring
828,5,143,emergency
838,5,144,assistance
850,6,146,He
853,6,147,says
876,6,153,Africa
893,6,157,Asia
906,6,160,Near
911,6,161,East
922,7,165,events
947,7,170,years
954,7,172,triggered
967,7,174,soaring
975,7,175,food
980,7,176,prices
991,7,178,followed
1007,7,181,financial
1021,7,183,economic
1030,7,184,turmoil
1044,7,187,demonstrated
1061,7,189,fragile
1073,7,191,global
1080,7,192,food
1085,7,193,system
1096,8,196,This
1101,8,197,year
1108,8,199,increase
1120,8,201,hunger
1138,8,205,result
1148,8,207,poor
1153,8,208,harvests
1167,8,211,shortfall
1180,8,213,supplies
1204,8,218,caused
1218,8,221,economic
1227,8,222,crisis
1244,8,225,reduced
1256,8,227,incomes
1268,8,229,job
1272,8,230,opportunities
1294,8,233,poor
1304,8,237,said
1312,9,240,Diouf
1318,9,241,says
1329,9,244,investment
1343,9,246,agriculture
1359,9,248,rural
1365,9,249,development
1391,9,254,root
1396,9,255,causes
1410,9,258,recent
1417,9,259,global
1424,9,260,food
1429,9,261,crisis
1444,9,264,difficulties
1457,9,265,encountered
1476,9,268,majority
1488,9,270,developing
1499,9,271,countries
1512,9,273,dealing
1528,9,276,effectively
1544,10,280,If
1547,10,281,people
1557,10,283,hungry
1564,10,284,today
1592,10,290,world
1605,10,293,producing
1622,10,295,food
1649,10,301,produced
1665,10,304,countries
1684,10,307,percent
1699,10,310,world
1707,10,312,poor
1712,10,313,live
1727,10,316,livelihoods
1739,10,317,depend
1749,10,319,farming
1757,10,320,activities
1773,11,323,challenge
1798,11,328,ensure
1805,11,329,food
1810,11,330,security
1831,11,334,billion
1839,11,335,hungry
1846,11,336,people
1853,11,337,today
1869,11,341,certainly
1882,11,343,enormous
1891,11,344,task
1912,11,350,able
1920,11,352,feed
1927,11,354,world
1933,11,355,population
1952,11,358,expected
1964,11,360,reach
1974,11,362,billion
1995,11,368,said
2001,12,370,He
2008,12,372,urged
2014,12,373,nations
2025,12,375,increase
2034,12,376,food
2039,12,377,production
2056,12,380,percent
2077,12,385,remarked
2092,12,388,Where
2124,12,397,way
2135,13,402,FAO
2139,13,403,chief
2145,13,404,says
2150,13,405,studies
2163,13,407,GDP
2167,13,408,growth
2174,13,409,originating
2189,13,411,agriculture
2213,13,415,twice
2222,13,417,effective
2235,13,419,reducing
2244,13,420,poverty
2255,13,422,GDP
2259,13,423,growth
2266,13,424,originating
2287,13,427,sectors
2302,13,430,economy
2311,14,432,He
2314,14,433,says
2323,14,435,solution
2335,14,437,food
2340,14,438,insecurity
2351,14,439,lies
2359,14,441,boosting
2368,14,442,agricultural
2381,14,443,production
2396,14,445,productivity
2412,14,447,poor
2417,14,448,countries
2433,14,450,food
2438,14,451,shortages
2452,14,453,chronic
2463,15,456,Diouf
2469,15,457,says
2474,15,458,production
2495,15,462,increased
2517,15,466,needy
2523,15,467,areas
2542,15,472,needy
2548,15,473,people
2566,16,477,smallholder
2578,16,478,farmers
2589,16,480,rural
2595,16,481,households
2609,17,484,He
2612,17,485,says
2617,17,486,investment
2631,17,488,agriculture
2646,17,490,developing
2657,17,491,countries
2687,17,497,billion
2698,17,499,official
2707,17,500,development
2719,17,501,assistance
2732,17,503,year
2738,18,505,He
2741,18,506,says
2750,18,508,returns
2768,18,511,investment
2782,18,513,tackling
2791,18,514,world
2797,18,515,hunger
2813,18,518,enormous
