char,sent_n,token_i,word
0,1,0,US
3,1,1,stocks
10,1,2,plunged
35,1,6,stock
41,1,7,markets
49,1,8,overseas
63,1,11,greater
76,1,13,expected
85,1,14,rise
93,1,16,consumer
102,1,17,prices
109,1,18,fueled
116,1,19,investors
127,1,21,fears
142,1,24,Federal
150,1,25,Reserve
160,1,27,campaign
172,1,29,raising
180,1,30,interest
189,1,31,rates
208,2,36,At
215,2,38,close
224,2,40,trading
240,2,43,PM
243,2,44,EDT
252,2,47,Dow
256,2,48,Jones
262,2,49,Industrial
273,2,50,Average
285,2,52,fallen
299,2,54,points
331,3,63,Technology
342,3,64,stocks
358,3,67,safe
372,3,70,selling
396,3,76,NASDAQ
403,3,77,fell
414,3,79,points
449,4,89,NASDAQ
464,4,92,turned
471,4,93,negative
490,5,97,Broader
498,5,98,stock
504,5,99,indices
517,5,101,finished
531,5,103,lower
554,6,108,fell
562,6,110,points
590,7,118,This
602,7,121,biggest
610,7,122,point
616,7,123,loss
628,7,126,Dow
637,7,129,years
649,8,133,Consumer
658,8,134,Price
664,8,135,Index
671,8,137,CPI
676,8,139,showed
688,8,141,prices
702,8,144,consumer
711,8,145,increased
726,8,148,greater
739,8,152,expected
756,8,156,April
763,9,158,Core
768,9,159,CPI
779,9,162,factors
791,9,164,volatile
800,9,165,food
809,9,167,energy
816,9,168,prices
824,9,170,swelled
837,9,173,greater
850,9,177,expected
866,10,182,Market
873,10,183,breadth
885,10,185,extremely
895,10,186,negative
909,10,188,advancers
919,10,189,beating
931,10,191,decliners
953,10,197,ratio
966,10,200,New
970,10,201,York
975,10,202,Stock
981,10,203,Exchange
991,11,205,Volume
1002,11,207,heavy
1018,11,210,billion
1026,11,211,shares
1033,11,212,changing
1042,11,213,hands
1049,12,215,Of
1059,12,218,stocks
1083,12,223,Dow
1087,12,224,Jones
1093,12,225,Industrials
1117,12,230,closed
1137,12,234,day
1151,13,238,stock
1160,13,240,positive
1169,13,241,territory
1183,13,243,Hewlett
1191,13,245,Packard
1206,13,248,closed
1253,13,261,reporting
1263,13,262,quarterly
1273,13,263,earnings
1292,13,266,close
1298,13,267,Tuesday
1312,14,271,selloff
1320,14,272,comes
1333,14,275,heels
1346,14,278,Dow
1350,14,279,rising
1370,14,283,points
1388,14,288,time
1393,14,289,closing
1401,14,290,high
1429,14,295,week
1435,15,297,That
1440,15,298,rally
1450,15,300,built
1459,15,302,hopes
1474,15,305,Federal
1482,15,306,Reserve
1494,15,308,close
1503,15,310,ending
1514,15,312,interest
1523,15,313,rate
1528,15,314,hike
1533,15,315,campaign
1543,16,317,Since
1554,16,319,time
1563,16,321,Dow
1571,16,323,experienced
1585,16,325,double
1592,16,327,digit
1598,16,328,point
1604,16,329,losses
1612,17,331,Many
1617,17,332,market
1624,17,333,analysts
1637,17,335,technicians
1650,17,337,including
1660,17,338,Ken
1664,17,339,Tower
1675,17,341,Schwab
1684,17,343,CyberTrader
1697,17,345,felt
1711,17,348,market
1722,17,350,overbought
1751,17,356,short
1757,17,358,term
1762,17,359,correction
1774,18,361,Today
1782,18,363,inflation
1792,18,364,report
1799,18,365,suggests
1817,18,368,Fed
1835,18,372,tighten
1843,18,373,interest
1852,18,374,rates
1869,18,377,combat
1876,18,378,inflation
1890,18,380,slow
1895,18,381,economic
1904,18,382,growth
1921,18,386,sustainable
1933,18,387,pace
1939,19,389,Higher
1946,19,390,interest
1955,19,391,rates
1961,19,392,increase
1974,19,394,cost
1982,19,396,money
1994,19,399,discouraging
2007,19,400,borrowing
2020,19,402,businesses
2035,19,404,individuals
2051,20,407,European
2060,20,408,stock
2066,20,409,markets
2074,20,410,fell
2084,20,412,sharply
2110,20,417,US
2114,21,419,London
2123,21,421,FTSE
2128,21,422,fell
2140,21,426,Frankfurt
2152,21,428,DAX
2156,21,429,tumbled
2174,21,434,Paris
2181,21,436,CAC
2188,21,438,fell
