char,sent_n,token_i,word
10,1,2,members
21,1,4,parliament
40,1,7,British
48,1,8,National
57,1,9,Party
64,1,11,BNP
74,1,14,elected
82,1,15,today
96,1,19,United
103,1,20,Kingdom
111,1,21,elections
129,1,24,European
138,1,25,Parliament
150,2,27,Nick
155,2,28,Griffin
168,2,31,leader
182,2,34,party
193,2,37,elected
201,2,38,Member
215,2,41,European
224,2,42,Parliament
242,2,45,North
248,2,46,West
253,2,47,England
261,2,48,region
273,2,51,Andrew
280,2,52,Brons
290,2,54,elected
305,2,57,Yorkshire
323,2,60,Humber
330,2,61,region
338,3,63,This
356,3,67,time
370,3,70,BNP
378,3,72,won
384,3,74,parliamentary
398,3,75,seat
410,3,78,European
419,3,79,Parliamentary
441,3,82,General
449,3,83,Election
460,4,86,Although
473,4,88,number
483,4,90,votes
489,4,91,cast
502,4,94,BNP
513,4,97,North
519,4,98,West
524,4,99,England
532,4,100,region
551,4,104,election
574,4,109,lower
589,4,112,number
599,4,114,votes
605,4,115,cast
618,4,118,BNP
639,4,124,previous
648,4,125,election
670,4,130,percentage
688,4,133,popular
696,4,134,vote
701,4,135,achieved
717,4,138,BNP
721,4,139,rose
759,4,151,lower
765,4,152,overall
773,4,153,voter
779,4,154,turnout
788,5,156,Nick
793,5,157,Robinson
802,5,158,claimed
834,5,164,abolition
847,5,166,postal
854,5,167,ballots
870,5,170,years
876,5,171,elections
887,6,173,He
890,6,174,went
910,6,179,BNP
914,6,180,voters
930,6,183,enthusiastic
946,6,185,voting
963,6,189,votes
978,6,192,decline
1003,6,197,parties
1013,7,200,Similarly
1031,7,204,Yorkshire
1049,7,207,Humber
1056,7,208,region
1068,7,211,number
1078,7,213,votes
1084,7,214,cast
1097,7,217,party
1103,7,218,fell
1133,7,224,elections
1166,7,230,elections
1183,7,234,lower
1189,7,235,turnout
1197,7,236,resulted
1213,7,239,party
1221,7,241,percentage
1232,7,242,share
1245,7,245,popular
1253,7,246,vote
1258,7,247,rising
1289,8,257,BNP
1302,8,260,receive
1310,8,261,EU
1313,8,262,funding
1329,8,266,form
1337,8,268,MEP
1341,8,269,expenses
1354,8,271,office
1365,8,273,staff
1371,8,274,allowances
1383,9,276,What
1396,9,279,receive
1412,9,282,governed
1428,9,285,Statute
1440,9,287,Members
1455,9,290,European
1464,9,291,Parliament
1476,9,293,new
1480,9,294,rules
1490,9,296,MEP
1494,9,297,expenses
1503,9,298,introduced
1522,9,301,newly
1528,9,302,elected
1541,9,304,parliament
1553,10,306,Mr
1556,10,307,Griffin
1568,10,309,Mr
1571,10,310,Brons
1587,10,313,receive
1610,10,317,month
1616,10,318,salary
1624,10,320,formally
1647,10,326,basic
1653,10,327,salary
1665,10,330,judge
1678,10,333,European
1687,10,334,Court
1696,10,336,Justice
1706,10,339,paid
1720,10,342,EU
1723,10,343,budget
1737,10,347,pension
1755,10,350,leave
1761,10,351,office
1769,11,353,They
1787,11,357,entitled
1799,11,359,employ
1806,11,360,personal
1815,11,361,staff
1828,11,364,salaries
1846,11,367,paid
1860,11,370,EU
1863,11,371,budget
1876,12,375,election
1888,12,377,BNP
1892,12,378,MEPs
1901,12,380,caused
1908,12,381,protests
1918,13,383,Mr
1921,13,384,Griffin
1933,13,386,accosted
1945,13,388,political
1955,13,389,protestors
1974,13,392,attended
1987,13,394,vote
1992,13,395,counting
2008,13,398,night
2017,13,400,June
2039,13,406,forced
2049,13,408,enter
2059,13,410,building
2074,13,413,rear
2079,13,414,entrance
2089,14,416,When
2097,14,418,stepped
2105,14,419,forward
2125,14,423,victory
2133,14,424,speech
2151,14,428,result
2167,14,431,declared
2187,14,435,parties
2196,14,437,candidates
2207,14,438,took
2216,14,440,unusual
2224,14,441,step
2232,14,443,leaving
2244,14,445,stage
