char,sent_n,token_i,word
0,1,0,Universal
10,1,1,Studios
22,1,3,Fox
26,1,4,Broadcasting
43,1,6,sending
51,1,7,cease
61,1,11,desist
68,1,12,letters
79,1,14,websites
93,1,16,offer
99,1,17,t
101,1,19,shirts
108,1,20,related
123,1,23,television
134,1,24,program
142,1,25,Firefly
158,1,28,sequel
165,1,29,film
170,1,30,Serenity
181,2,33,One
185,2,34,cease
195,2,36,desist
202,2,37,letter
214,2,40,example
223,2,42,reads
232,3,45,Affected
248,3,48,cease
258,3,52,desist
265,3,53,letters
276,3,55,CaféPress
289,3,58,website
303,3,60,enables
311,3,61,people
321,3,63,open
336,3,66,store
360,3,71,stopped
368,3,72,allowing
377,3,73,people
387,3,75,search
398,3,77,Firefly
406,3,78,merchandise
420,4,81,Firefly
428,4,82,premiered
446,4,85,cancelled
473,4,90,episodes
482,4,91,aired
489,5,93,Many
494,5,94,fans
503,5,96,watched
515,5,98,enjoyed
527,5,100,short
533,5,102,lived
559,5,108,cult
564,5,109,following
579,5,111,encouraged
590,5,112,Joss
595,5,113,Whedon
605,5,115,create
614,5,117,film
619,5,118,called
627,5,120,Serenity
646,6,125,There
659,6,128,current
667,6,129,plans
679,6,132,sequel
693,6,135,revival
708,6,138,Firefly
716,6,139,series
