char,sent_n,token_i,word
9,1,2,anniversary
24,1,4,Victory
35,1,6,Europe
42,1,7,Day
55,1,10,commemorated
68,1,11,Sunday
82,1,13,Europe
97,1,16,USA
105,2,20,In
108,2,21,Germany
117,2,23,President
130,2,25,Germany
138,2,26,Horst
144,2,27,Köhler
155,2,29,Chancellor
166,2,30,Gerhard
174,2,31,Schröder
183,2,32,attended
194,2,34,service
209,2,37,Kaiser
216,2,38,Wilhelm
224,2,39,Memorial
233,2,40,Church
243,2,42,Berlin
256,2,45,wreath
263,2,47,laying
270,2,48,ceremony
286,2,51,main
291,2,52,Soviet
298,2,53,war
302,2,54,memorial
312,3,56,VE
315,3,57,Day
322,3,59,commemorated
338,3,61,Democracy
348,3,62,Day
355,3,64,Germany
367,3,67,Germans
375,3,68,consider
397,3,73,day
422,3,80,liberated
437,3,82,Nazism
447,4,86,In
454,4,88,United
461,4,89,Kingdom
474,4,94,Prince
481,4,95,Charles
490,4,97,wearing
502,4,99,uniform
513,4,101,Vice
518,4,102,Admiral
533,4,105,Royal
539,4,106,Navy
545,4,108,laid
552,4,110,commemorative
566,4,111,wreath
580,4,114,Cenotaph
590,5,116,Queen
596,5,117,Elizabeth
609,5,119,scheduled
622,5,121,attend
633,5,123,main
638,5,124,commemorative
652,5,125,ceremony
667,5,128,held
675,5,130,July
693,7,138,At
702,7,140,UTC
708,7,142,Dakota
729,7,147,Battle
739,7,149,Britain
747,7,150,Memorial
756,7,151,Flight
763,7,152,based
772,7,154,RAF
776,7,155,Coningsby
787,7,157,flew
801,7,160,Palace
811,7,162,Westminster
824,7,164,Whitehall
839,7,167,Trafalgar
849,7,168,Square
859,7,170,mark
868,7,172,beginning
883,7,175,televised
893,7,176,BBC
897,7,177,VE
900,7,178,Day
904,7,179,concert
915,8,183,In
918,8,184,France
926,8,186,President
939,8,188,France
946,8,189,Jacques
954,8,190,Chirac
961,8,191,laid
968,8,193,memorial
977,8,194,wreath
991,8,197,Tomb
1003,8,200,Unknown
1011,8,201,Soldier
1026,8,204,Arc
1030,8,205,de
1033,8,206,Triomphe
1045,9,210,In
1052,9,212,Netherlands
1065,9,214,President
1082,9,217,United
1089,9,218,States
1096,9,219,George
1106,9,221,Bush
1115,9,223,Queen
1121,9,224,Beatrix
1136,9,227,Netherlands
1148,9,228,attended
1159,9,230,memorial
1168,9,231,ceremony
1182,9,234,United
1189,9,235,States
1196,9,236,military
1205,9,237,cemetery
1214,9,238,near
1219,9,239,Maastricht
1241,9,243,Last
1246,9,244,Post
1255,9,246,sounded
1266,10,250,In
1269,10,251,Croatia
1278,10,253,President
1291,10,255,Croatia
1299,10,256,Stjepan
1307,10,257,Mesić
1313,10,258,gave
1320,10,260,controversial
1334,10,261,speech
1346,10,264,commemorative
1360,10,265,celebration
1375,10,267,victory
1388,10,269,fascism
1399,10,271,Zagreb
1407,10,273,starting
1422,10,276,Comrades
1432,10,278,ladies
1443,10,280,gentlemen
1455,11,283,He
1458,11,284,said
1468,11,286,NDH
1475,11,289,World
1481,11,290,War
1485,11,291,Two
1489,11,292,Croatian
1498,11,293,state
1510,11,297,founded
1521,11,299,crime
1538,11,305,discrace
1554,11,308,insult
1564,11,310,Croats
1577,12,314,role
1585,12,316,Ustaše
1596,12,318,Partisans
1617,12,321,World
1623,12,322,War
1627,12,323,Two
1642,12,327,point
1651,12,329,debate
1661,12,331,Croatia
1672,13,335,In
1679,13,337,United
1686,13,338,States
1694,13,340,Former
1706,13,342,Bob
1710,13,343,Dole
1715,13,344,spoke
1730,13,347,Sunday
1737,13,348,ceremony
1746,13,349,commemorating
1764,13,351,anniversary
1779,13,353,allied
1786,13,354,victory
1797,13,356,Europe
1805,13,358,May
1822,14,364,ceremony
1835,14,366,held
1840,14,367,near
1849,14,369,National
1858,14,370,World
1864,14,371,War
1868,14,372,II
1871,14,373,Memorial
1883,14,375,Washington
1910,15,381,anniversary
1925,15,383,Victory
1933,15,384,Day
1940,15,386,scheduled
1956,15,389,celebrated
1970,15,391,Russia
1988,15,395,successor
1998,15,396,states
2012,15,399,Soviet
2019,15,400,Union
2029,15,403,May
