char,sent_n,token_i,word
0,1,0,Venezuela
15,1,2,provide
23,1,3,heating
31,1,4,oil
44,1,9,discount
56,1,11,low
60,1,12,income
67,1,13,families
79,1,15,Massachusetts
98,1,17,winter
106,2,19,According
122,2,22,agreement
132,2,23,signed
142,2,25,Tuesday
150,2,26,Citgo
161,2,29,Houston
169,2,31,based
175,2,32,subsidiary
189,2,34,Venezuela
201,2,36,state
207,2,38,owned
213,2,39,oil
217,2,40,company
231,2,43,provide
242,2,45,million
250,2,46,gallons
261,2,48,discounted
272,2,49,home
277,2,50,heating
285,2,51,oil
294,3,54,oil
306,3,57,distributed
330,3,60,nonprofit
340,3,61,organizations
355,3,63,Citizens
364,3,64,Energy
385,3,68,Mass
390,3,69,Energy
397,3,70,Consumer
406,3,71,Alliance
417,4,74,In
420,4,75,August
427,4,76,William
435,4,77,Delahunt
445,4,79,D
447,4,81,Mass
453,4,83,met
457,4,84,President
467,4,85,Hugo
472,4,86,Chávez
482,4,88,Caracas
495,5,91,meeting
513,5,94,member
523,5,96,Congress
538,5,99,head
546,5,101,state
555,5,103,critical
571,5,106,White
577,5,107,House
584,5,109,sparked
592,5,110,negotiations
610,5,112,led
621,5,115,deal
627,6,117,Mr
630,6,118,Delahunt
639,6,119,said
651,6,122,simply
658,6,123,trying
668,6,125,smooth
675,6,126,strained
684,6,127,US
687,6,129,Venezuelan
698,6,130,relations
714,6,132,helping
722,6,133,low
726,6,135,income
733,6,136,people
747,6,139,home
752,6,140,state
760,7,143,Hugo
765,7,144,Chávez
772,7,145,says
783,7,148,leading
793,7,150,Bolivarian
804,7,151,Revolution
819,7,153,calls
829,7,155,program
840,7,157,act
847,7,159,justice
859,7,161,poor
864,7,162,Americans
883,7,166,says
898,7,169,neglected
917,7,172,government
929,8,174,Mr
932,8,175,Chávez
949,8,179,Latin
955,8,180,America
965,8,182,harshest
974,8,183,critics
990,8,187,style
996,8,188,capitalism
1017,8,192,calls
1025,8,194,major
1031,8,195,cause
1040,8,197,poverty
1049,9,200,Venezuela
1068,9,203,selling
1076,9,204,fuel
1084,9,206,preferential
1097,9,207,terms
1106,9,209,countries
1123,9,211,Latin
1129,9,212,America
1145,9,215,Caribbean
1156,9,217,extending
1166,9,218,low
1170,9,220,interest
1179,9,221,loans
1189,9,223,accepting
1199,9,224,partial
1207,9,225,payment
1218,9,227,goods
1224,9,228,ranging
1237,9,230,bananas
1248,9,232,sugar
1257,10,235,Critics
1265,10,236,said
1270,10,237,Delahunt
1293,10,241,working
1304,10,243,closely
1317,10,245,Chávez
1328,10,248,outspoken
1338,10,249,leftist
1347,11,251,Steve
1353,11,252,Johnson
1364,11,255,Latin
1370,11,256,American
1379,11,257,specialist
1397,11,260,conservative
1410,11,261,oriented
1419,11,262,Heritage
1428,11,263,Foundation
1440,11,265,said
1446,11,267,Meeting
1463,11,270,leader
1474,11,272,calls
1490,11,275,revolutionary
1504,11,276,populist
1530,11,280,I
1534,11,282,like
1542,11,284,congressman
1569,12,291,Representative
1584,12,292,Delahunt
1593,12,293,said
1599,12,295,This
1609,12,298,humanitarian
1622,12,299,gesture
1645,12,305,constituents
1659,12,307,needs
1669,12,309,heating
1677,12,310,assistance
1688,12,311,trump
1698,12,313,political
1708,12,314,points
1719,12,316,Chavez
1726,12,317,administration
1745,12,319,score
1752,13,321,Asked
1768,13,325,subverting
1779,13,326,State
1785,13,327,Department
1796,13,328,policy
1810,13,330,Chávez
1818,13,332,Mr
1821,13,333,Delahunt
1830,13,334,said
1837,13,337,I
1845,13,340,work
1854,13,342,Condoleezza
1866,13,343,Rice
1872,14,345,I
1880,14,348,report
1894,14,351,State
1900,14,352,Department
1912,15,354,I
1914,15,355,report
1928,15,358,people
1939,15,360,elected
1957,15,364,state
1966,15,366,Massachusetts
1981,16,368,I
1983,16,369,belong
1996,16,372,independent
2008,16,373,branch
2018,16,375,government
2032,17,379,Over
2040,17,381,percent
2051,17,383,US
2054,17,384,oil
2058,17,385,imports
2066,17,386,come
2076,17,388,Venezuela
2097,17,392,Mr
2100,17,393,Chávez
2107,17,394,seeks
2116,17,396,diversify
2130,17,398,markets
2143,17,401,US
2146,17,402,remains
2158,17,404,leading
2166,17,405,trade
2172,17,406,partner
2182,18,409,When
2191,18,411,discounted
2202,18,412,oil
2206,18,413,arrives
2214,18,414,early
2220,18,415,December
2229,18,416,Citizens
2238,18,417,Energy
2250,18,419,determine
2260,18,420,suitable
2269,18,421,recipients
2289,18,424,help
2297,18,426,local
2303,18,427,organizations
2322,18,429,serve
2332,18,431,poor
2342,19,434,local
2348,19,435,dealers
2366,19,438,distribute
2383,19,441,fourths
2398,19,444,oil
2405,19,446,local
2411,19,447,families
2427,20,451,remaining
2437,20,452,quarter
2453,20,455,distributed
2468,20,457,sold
2476,20,459,homeless
2485,20,460,shelters
2495,20,462,food
2500,20,463,banks
2511,20,466,low
2515,20,468,income
2522,20,469,housing
2530,20,470,groups
2540,20,472,MassEnergyConsumer
2559,20,473,Alliance
2569,21,475,Larry
2575,21,476,Chretien
2589,21,479,nonprofit
2599,21,480,group
2607,21,482,executive
2617,21,483,director
2626,21,484,says
2631,21,485,home
2636,21,486,heating
2644,21,487,oil
2648,21,488,prices
2659,21,490,expected
2671,21,492,increase
2686,21,495,percent
2700,21,498,percent
2713,21,500,winter
2731,21,503,rising
2738,21,504,oil
2742,21,505,prices
2754,22,508,CITGO
2760,22,509,agreement
2776,22,511,help
2781,22,512,ease
2790,22,514,crunch
2805,22,517,families
