char,sent_n,token_i,word
0,1,0,At
12,1,3,people
24,1,5,killed
34,1,7,Somali
41,1,8,government
56,1,10,African
64,1,11,Union
70,1,12,troops
77,1,13,battled
85,1,14,Islamist
94,1,15,rebels
104,1,17,Mogadishu
123,1,20,past
132,1,22,days
143,2,26,attacks
151,2,27,started
168,2,30,insurgent
178,2,31,group
184,2,32,al
187,2,34,Shabaab
205,2,38,trying
215,2,40,overthrow
229,2,42,government
241,2,44,started
249,2,45,firing
256,2,46,mortar
263,2,47,bombs
276,2,50,capital
287,2,52,Friday
299,3,55,onslaught
313,3,57,apparently
324,3,58,provoked
336,3,60,African
344,3,61,Union
350,3,62,troops
366,3,66,earlier
374,3,67,entered
382,3,68,rebel
388,3,70,controlled
399,3,71,territories
414,4,75,They
419,4,76,provoked
434,4,79,coming
450,4,82,areas
470,4,88,right
479,4,90,attack
500,4,94,bases
508,4,97,al
511,4,99,Shabaab
519,4,100,spokesman
529,4,101,Sheik
535,4,102,Ali
539,4,103,Mohamud
547,4,104,Rage
552,4,105,said
559,5,108,Six
563,5,109,people
570,5,110,died
575,5,111,following
589,5,113,explosion
602,5,115,mortars
610,5,116,near
615,5,117,market
622,5,118,stalls
632,5,120,Mogadishu
643,6,122,Ambulance
653,6,123,staff
659,6,124,said
676,6,128,dozen
682,6,129,bodies
694,6,131,found
710,6,134,incident
721,7,137,Abdi
726,7,138,Haji
731,7,139,Ahmed
740,7,142,resident
756,7,145,city
768,7,149,witness
783,7,152,event
792,8,156,Hundreds
809,8,160,armed
815,8,161,insurgents
826,8,162,came
838,8,165,district
852,8,167,minibuses
866,8,169,pick
874,8,172,trucks
885,8,174,immediately
902,8,176,started
910,8,177,firing
929,8,180,government
940,8,181,troops
954,8,184,African
962,8,185,Union
968,8,186,base
978,8,190,said
985,9,193,We
998,9,196,ducking
1016,9,199,concrete
1025,9,200,balcony
1037,9,202,hours
1046,10,206,Somalia
1063,10,209,plagued
1074,10,211,violence
1098,10,215,stable
1105,10,216,government
1117,10,218,led
1124,10,220,dictator
1133,10,221,Mohamed
1141,10,222,Siad
1146,10,223,Barre
1157,10,226,overthrown
1179,10,230,warlords
