char,sent_n,token_i,word
4,1,1,Virgin
14,1,3,Suyapa
25,1,7,cm
28,1,8,high
33,1,9,statue
52,1,13,patron
59,1,14,saint
68,1,16,Honduras
82,1,19,brought
97,1,22,local
103,1,23,suburb
113,1,25,Eben
118,1,26,Ezer
126,1,28,Chamelecón
138,1,30,San
142,1,31,Pedro
148,1,32,Sula
164,1,36,residents
182,1,39,area
187,1,40,experienced
203,1,42,massacre
218,1,45,people
225,1,46,returning
235,1,47,home
243,1,49,bus
255,1,52,December
270,2,55,A
288,2,59,left
293,2,60,injured
302,3,62,Many
307,3,63,thousands
320,3,65,people
341,3,69,Central
349,3,70,America
357,3,71,come
365,3,73,Suyapa
375,3,76,suburb
389,3,79,capital
397,3,80,Tegucigalpa
413,3,83,celebrate
432,3,86,day
439,3,88,early
445,3,89,February
473,3,95,visit
479,3,96,yesterday
490,3,98,Sunday
497,3,99,January
529,3,107,year
536,3,109,celebrations
552,4,112,Her
556,4,113,presence
569,4,115,heavily
577,4,116,guarded
590,4,119,contingent
604,4,121,armed
610,4,122,military
619,4,123,troops
635,4,127,statue
659,4,131,stolen
696,4,138,recovered
706,4,139,later
713,5,141,A
715,5,142,minute
724,5,144,silence
736,5,146,held
748,5,149,spot
763,5,152,massacre
772,5,153,took
777,5,154,place
788,6,157,nationally
804,6,159,known
810,6,160,bishop
819,6,162,assistant
829,6,163,Rómulo
836,6,164,Emiliani
845,6,165,led
853,6,167,ceremonies
