char,sent_n,token_i,word
0,1,0,Tonight
9,1,2,Friday
16,1,3,night
26,1,6,Australia
41,1,9,Women
49,1,11,National
58,1,12,Basketball
69,1,13,League
78,1,15,Sydney
85,1,16,Uni
89,1,17,Flames
96,1,18,decisively
107,1,19,beat
116,1,21,Canberra
125,1,22,Capitals
139,1,25,score
161,1,30,game
166,1,31,played
176,1,33,Sydney
190,2,37,Capitals
199,2,38,shot
204,2,39,poorly
219,2,43,team
224,2,44,average
244,2,49,field
250,2,50,goal
255,2,51,range
262,2,53,ultimately
273,2,54,going
286,3,57,In
289,3,58,contrast
299,3,60,Sydney
306,3,61,shot
327,3,67,field
333,3,68,goal
338,3,69,range
345,4,71,Canberra
358,4,73,worse
375,4,76,point
381,4,77,range
388,4,79,going
399,4,81,compared
415,4,84,Flames
426,4,86,shot
443,5,91,Flames
462,5,94,players
473,5,96,double
480,5,97,digits
488,5,99,including
498,5,100,April
504,5,101,Sykes
519,6,105,Alicia
526,6,106,Poto
544,6,111,Rohanee
552,6,112,Cox
565,7,116,Only
570,7,117,Brigitte
579,7,118,Ardossi
594,7,121,double
601,7,122,digits
616,7,125,Capitals
633,7,128,points
641,8,130,Canberra
657,8,133,leading
665,8,134,scorers
678,8,136,Michelle
687,8,137,Cosier
705,8,141,Nicole
712,8,142,Hunt
727,9,147,Sydney
739,9,149,dominated
758,9,152,key
762,9,153,statistics
774,9,155,including
784,9,156,total
790,9,157,rebounds
814,9,162,Capitals
828,9,166,steals
846,9,170,Canberra
864,9,175,blocks
885,9,180,Capitals
902,10,185,Capitals
911,10,186,turned
922,10,188,ball
942,10,192,Sydney
965,10,198,Flames
983,11,204,win
1013,11,211,season
1024,11,213,Sydney
1053,11,221,game
1058,11,222,winning
1066,11,223,streak
1074,12,225,Canberra
1085,12,227,loss
1090,12,228,continues
1106,12,230,loosing
1114,12,231,streak
1126,12,234,sitting
1147,12,239,row
1152,13,241,They
1157,13,242,sit
1161,13,243,sixth
1174,13,246,ladder
1186,13,249,games
1203,13,252,Bulleen
1211,13,253,Boomers
1226,13,256,playoff
1234,13,257,chase
1243,14,260,Canberra
1260,14,263,court
1266,14,264,problems
1282,14,267,game
1295,14,269,Sydney
1307,14,271,Michelle
1316,14,272,Cosier
1327,14,274,Alexandra
1337,14,275,Bunton
1349,14,277,dealing
1362,14,279,illness
1375,15,282,Capitals
1396,15,286,able
1404,15,288,count
1413,15,290,Lauren
1420,15,291,Jackson
1428,15,292,coming
1444,15,295,time
1449,15,296,soon
1490,15,306,Christmas
1507,15,309,hamstring
1517,15,310,injury
1527,16,313,Canberra
1538,16,315,poor
1543,16,316,performance
1555,16,317,comes
1566,16,320,time
1580,16,323,team
1587,16,325,head
1592,16,326,coach
1599,16,328,Carrie
1606,16,329,Graf
1621,16,333,scrutiny
1635,17,336,previous
1644,17,337,Australian
1655,17,338,women
1663,17,340,national
1672,17,341,basketball
1683,17,342,team
1688,17,343,coach
1695,17,345,Jan
1699,17,346,Stirling
1713,17,349,suggested
1731,17,351,Graf
1748,17,354,leave
1763,17,357,team
1775,17,359,Olympic
1787,17,361,World
1793,17,362,Championship
1806,17,363,years
1824,17,368,analysis
1833,17,369,following
1847,17,371,national
1856,17,372,team
1863,17,374,performance
1882,17,377,London
1889,17,378,Olympics
1899,18,380,Graf
1906,18,382,coaching
1915,18,383,contracts
1934,18,386,national
1943,18,387,team
1956,18,390,Capitals
1970,18,392,finish
1984,18,395,end
1995,18,398,year
2012,18,403,currently
2022,18,404,negotiating
2040,18,407,new
2044,18,408,deal
2054,18,410,Basketball
2065,18,411,Australia
2084,18,414,create
2093,18,416,situation
2116,18,420,ineligible
2130,18,422,coach
2144,18,425,Capitals
2165,18,428,national
2174,18,429,team
2179,18,430,position
2206,18,435,time
