char,sent_n,token_i,word
0,1,0,Warner
7,1,1,Music
13,1,2,Group
25,1,4,quarter
33,1,5,earnings
42,1,6,rose
47,1,7,sharply
67,1,10,growth
77,1,12,digital
85,1,13,music
91,1,14,sales
97,1,15,offsetting
108,1,16,falling
116,1,17,CD
119,1,18,sales
126,2,20,Warner
133,2,21,Music
139,2,22,sells
145,2,23,digital
153,2,24,music
170,2,27,online
177,2,28,services
186,2,29,including
196,2,30,Apple
204,2,32,iTunes
214,2,34,wholesale
229,3,37,company
245,3,41,quarter
253,3,42,revenue
266,3,44,digital
274,3,45,music
280,3,46,sales
286,3,47,doubled
303,3,51,million
312,3,53,accounting
333,3,58,overall
341,3,59,revenue
350,4,61,Madonna
359,4,63,Green
365,4,64,Day
374,4,67,James
380,4,68,Blunt
390,4,70,signed
400,4,72,subsidiary
411,4,73,labels
421,4,75,Warner
430,5,78,Warner
437,5,79,Music
447,5,81,undergone
457,5,82,restructuring
483,5,85,sold
506,5,90,parent
513,5,91,company
521,5,92,Time
526,5,93,Warner
534,6,95,Cutting
542,6,96,costs
549,6,98,exploiting
560,6,99,current
568,6,100,assets
580,6,103,digital
588,6,104,music
607,6,108,company
617,6,110,focus
629,6,112,going
635,6,113,public
