char,sent_n,token_i,word
0,1,0,Yesterday
13,1,3,chilly
20,1,4,Amsterdam
30,1,5,hosted
41,1,7,Wikimedia
51,1,8,Conference
62,1,9,Netherlands
80,2,12,Held
92,2,15,Aristo
99,2,16,centre
111,2,19,suburb
125,2,22,city
134,2,24,run
141,2,26,Wikimedia
151,2,27,Netherlands
168,2,30,conference
185,2,33,short
191,2,34,train
197,2,35,ride
207,2,37,Amsterdam
217,2,38,Centraal
226,2,39,railway
234,2,40,station
247,3,43,topic
254,3,45,Wikis
264,3,47,Education
275,3,49,Wiki
282,3,51,en
285,3,52,Educatie
297,3,54,Dutch
305,4,57,This
317,4,60,opportunity
333,4,62,Wikimedians
349,4,64,people
359,4,66,education
372,4,68,come
398,4,73,collaboration
418,4,75,help
430,5,79,Wikinews
439,5,80,freelance
449,5,81,reporter
458,5,82,Brian
464,5,83,McNeil
471,5,84,caught
480,5,86,train
491,5,88,Brussels
503,5,90,Belgium
515,5,92,attended
525,5,94,making
535,5,96,impression
553,5,99,Wikimedia
563,5,100,Foundation
574,5,101,chair
581,5,103,Florence
590,5,104,Devouard
603,5,107,spilling
616,5,109,coffee
642,5,114,speakers
651,5,115,approximately
671,5,117,minutes
696,5,121,supposed
708,5,123,officially
719,5,124,open
728,5,126,conference
