char,sent_n,token_i,word
0,1,0,Gale
5,1,1,force
11,1,2,winds
17,1,3,ripped
32,1,5,Sydney
47,1,8,South
53,1,9,Coast
62,1,11,New
66,1,12,South
72,1,13,Wales
78,1,14,late
86,1,16,Saturday
95,1,17,night
102,1,19,causing
110,1,20,widespread
121,1,21,damage
132,1,23,extensive
142,1,24,power
148,1,25,outages
175,1,31,homes
181,1,32,going
195,1,34,electricity
214,1,37,point
225,2,40,strong
232,2,41,winds
238,2,42,caused
245,2,43,trees
257,2,46,uprooted
274,2,50,instance
283,2,51,crashing
305,2,55,unsuspecting
318,2,56,motorist
328,2,58,killing
338,2,60,man
358,2,66,severely
367,2,67,injuring
380,2,69,wife
391,3,73,State
397,3,74,Emergency
407,3,75,Service
416,3,77,SES
425,3,80,responded
447,3,84,calls
457,3,86,help
465,3,88,repair
472,3,89,damage
479,3,90,caused
493,3,93,storms
513,3,97,storms
525,3,99,subsided
534,3,100,somewhat
547,3,102,flood
553,3,103,warnings
569,3,105,Bega
578,3,107,Moruya
595,3,110,withdrawn
