char,sent_n,token_i,word
0,1,0,Richard
8,1,1,Jenkins
20,1,4,engineer
38,1,7,United
45,1,8,Kingdom
54,1,10,broke
62,1,12,record
77,1,15,fastest
85,1,16,speed
91,1,17,attained
105,1,20,wind
110,1,22,powered
118,1,23,land
123,1,24,vehicle
134,1,26,Friday
143,2,29,Jenkins
151,2,30,managed
162,2,32,reach
170,2,34,speed
185,2,37,miles
195,2,39,hour
207,2,42,kilometres
222,2,44,hour
235,2,48,Greenbird
245,2,49,car
259,2,52,plains
269,2,54,Nevada
278,2,56,Ivanpah
286,2,57,Lake
293,3,60,Jenkins
301,3,61,said
318,3,65,worked
333,3,68,years
342,3,70,break
352,3,72,record
370,3,77,things
396,3,82,better
411,3,86,day
418,3,88,broke
428,3,90,record
437,4,93,It
442,4,95,great
449,5,97,It
467,5,102,things
483,5,105,spend
492,5,107,long
497,5,108,trying
522,5,114,actually
531,5,115,happens
556,5,121,easy
566,5,125,said
578,5,128,BBC
585,6,132,It
600,6,136,incredibly
611,6,137,difficult
621,6,138,challenge
632,7,140,Half
641,7,142,challenge
654,7,144,technical
665,7,146,having
675,7,148,create
689,7,151,efficient
699,7,152,vehicle
716,7,155,previous
725,7,156,record
732,7,157,holder
749,7,161,rest
757,7,163,luck
776,7,168,right
782,7,169,place
796,7,173,right
802,7,174,time
819,7,179,perfect
827,7,180,conditions
848,7,184,right
854,7,185,people
861,7,186,watching
871,8,188,I
891,8,193,record
898,8,194,standby
914,8,197,remote
921,8,198,location
941,8,201,world
964,8,206,months
980,8,209,year
993,8,212,past
1002,8,214,years
1013,8,218,said
1020,9,221,Then
1036,9,223,came
1050,9,225,perfectly
1068,9,228,Greenbird
1078,9,229,stepped
1096,9,233,mark
1105,9,235,performed
1115,9,236,amazingly
1126,10,238,I
1131,10,240,absolutely
1142,10,241,delighted
1159,11,246,previous
1168,11,247,record
1183,11,250,fastest
1191,11,251,wind
1196,11,253,powered
1204,11,254,land
1209,11,255,vehicle
1217,11,256,belonged
1229,11,258,Bob
1233,11,259,Schumacher
1253,11,262,United
1260,11,263,States
1272,11,266,reached
1284,11,268,miles
1294,11,270,hour
1306,11,273,Iron
1311,11,274,Duck
1316,11,275,machine
1330,12,279,Greenbird
1345,12,282,fifth
1351,12,283,generation
1368,12,286,array
1377,12,288,vehicles
1386,12,289,created
1397,12,291,Jenkins
1416,12,296,year
1421,12,297,effort
1431,12,299,break
1441,12,301,speed
1447,12,302,record
1455,13,304,It
1461,13,306,composed
1477,13,309,carbon
1484,13,310,fibre
1490,13,311,composite
1505,13,314,powered
1521,13,317,wind
1527,14,319,According
1540,14,321,Jenkins
1552,14,324,weighs
1563,14,326,kilograms
