char,sent_n,token_i,word
0,1,0,A
2,1,1,jury
7,1,2,awarded
15,1,3,Julie
21,1,4,Miller
31,1,6,Marion
38,1,7,County
46,1,9,Oregon
59,1,12,million
72,1,14,Friday
84,1,17,federal
92,1,18,lawsuit
108,1,20,Equifax
121,2,23,lawsuit
129,2,24,claimed
141,2,26,spent
151,2,28,years
157,2,29,trying
171,2,32,Equifax
179,2,33,Information
191,2,34,Services
203,2,36,fix
207,2,37,major
213,2,38,mistakes
229,2,41,credit
236,2,42,report
249,2,44,cost
262,2,47,opportunities
283,2,50,new
287,2,51,credit
297,3,54,Miller
304,3,55,said
317,3,58,contacted
327,3,59,Equifax
343,3,61,times
352,3,63,dispute
364,3,65,incorrect
374,3,66,information
393,3,69,credit
400,3,70,report
415,3,73,incorrect
425,3,74,SSN
430,3,76,date
438,3,78,birth
449,3,81,account
457,3,82,information
470,4,84,She
482,4,87,aware
497,4,90,problems
512,4,92,December
533,4,96,bank
538,4,97,denied
549,4,99,credit
557,5,101,She
561,5,102,said
572,5,104,credit
579,5,105,bureaus
587,5,106,corrected
597,5,107,errors
613,5,110,contacted
633,5,114,Equifax
650,6,119,Portland
659,6,120,attorney
668,6,121,Justin
675,6,122,Baxter
683,6,124,involved
695,6,126,Miller
704,6,128,case
710,6,130,said
717,6,133,There
727,6,135,damage
741,6,138,reputation
755,6,141,breach
769,6,144,privacy
785,6,147,lost
790,6,148,opportunity
805,6,150,seek
810,6,151,credit
824,7,156,She
834,7,159,brother
849,7,162,disabled
876,7,168,credit
910,7,177,able
918,7,179,help
929,8,183,To
932,8,184,ABC
936,8,185,News
944,8,187,said
951,8,190,She
971,8,195,supposed
987,9,199,She
1001,9,203,running
1009,9,204,straight
1025,9,207,courthouse
1043,10,212,We
1046,10,213,found
1062,10,216,complaints
1079,10,218,come
1095,10,223,run
1114,10,227,scanner
1131,10,230,send
1141,10,232,overseas
1153,11,236,Equifax
1161,11,237,declined
1173,11,239,comment
1189,11,242,lawsuit
1200,11,244,ABC
1204,11,245,News
1212,11,247,Associated
1223,11,248,Press
