char,sent_n,token_i,word
0,1,0,A
2,1,1,woman
12,1,3,held
21,1,5,Guinness
30,1,6,World
36,1,7,Record
47,1,9,having
58,1,11,world
66,1,13,longest
74,1,14,fingernails
90,1,16,lost
110,1,22,car
114,1,23,accident
130,1,26,hometown
142,1,28,Salt
147,1,29,Lake
152,1,30,City
158,1,32,Utah
170,1,35,United
177,1,36,States
194,2,41,old
198,2,42,Lee
202,2,43,Redmond
214,2,45,seriously
224,2,46,injured
246,2,50,ejected
263,2,53,sports
270,2,54,utility
278,2,55,vehicle
287,2,57,SUV
307,3,63,passenger
321,4,66,It
328,4,68,collided
346,4,71,car
351,4,73,causing
365,4,76,collide
388,4,80,cars
396,4,82,Tuesday
404,4,83,February
417,5,86,She
424,5,88,expected
448,5,93,recovery
461,6,98,Her
465,6,99,nails
477,6,102,damaged
492,6,104,repair
501,6,107,reported
514,6,109,BBC
519,6,111,quoting
527,6,112,Guinness
536,6,113,World
542,6,114,Records
560,6,118,said
570,6,120,Redmond
580,6,122,nails
594,6,126,fundamental
618,6,130,life
627,6,132,unique
634,6,133,character
650,7,137,cause
663,7,140,crash
680,7,144,known
693,7,147,investigation
710,7,149,ongoing
720,8,152,Redmond
731,8,154,credited
747,8,157,Guinness
756,8,158,Book
765,8,160,having
774,8,162,combined
783,8,163,fingernail
794,8,164,length
807,8,167,feet
817,8,170,longest
828,8,172,record
836,9,174,She
849,9,177,growing
867,9,180,fingers
883,9,183,thumbnails
906,10,187,Her
910,10,188,longest
925,10,191,nails
939,10,194,right
945,10,195,thumb
963,10,200,ft
977,10,203,inches
984,10,204,long
991,11,207,Before
998,11,208,Redmond
1010,11,210,named
1023,11,213,record
1030,11,214,holder
1046,11,218,Shridhar
1055,11,219,Chillal
1068,11,221,India
1082,11,224,longest
1095,11,227,combined
1104,11,228,length
1131,11,233,feet
