char,sent_n,token_i,word
4,1,1,Yangtze
12,1,2,River
29,1,6,longest
37,1,7,river
50,1,10,world
60,1,13,polluted
70,2,15,It
73,2,16,supplies
82,2,17,water
95,2,20,cities
107,3,23,river
113,3,24,takes
126,3,28,China
134,3,30,waste
157,3,37,untreated
168,4,39,It
183,4,43,source
193,4,45,drinking
202,4,46,water
211,4,48,Shanghai
223,4,51,city
236,4,54,million
244,4,55,people
254,6,59,Many
259,6,60,officials
269,6,61,think
279,6,63,pollution
308,6,68,Yangtze
325,6,72,pollution
338,6,74,actually
362,6,79,said
367,6,80,Yuan
372,6,81,Aiguo
381,6,84,professor
400,6,87,China
406,6,88,University
420,6,90,Geosciences
434,7,93,In
437,7,94,China
447,7,96,million
455,7,97,people
474,7,101,access
484,7,103,drinkable
494,7,104,water
501,8,106,Clean
510,8,108,campaigns
530,8,111,limited
538,8,112,progress
558,8,115,inconsistent
571,8,116,law
575,8,117,enforcement
594,9,121,Yangtze
615,9,126,plan
631,9,130,billion
639,9,131,litres
649,9,133,water
670,9,138,north
680,9,140,canals
688,10,142,Environmentalists
706,10,143,fear
715,10,145,water
732,10,149,safe
740,10,151,drink
752,11,155,pollution
766,11,157,caused
775,11,159,fall
787,11,162,biodiversity
807,11,165,Yangtze
816,12,167,Animal
823,12,168,species
836,12,170,fallen
859,12,175,mid
