char,sent_n,token_i,word
0,1,0,At
12,1,2,GMT
21,1,4,morning
34,1,7,Echostar
43,1,8,XI
46,1,9,satellite
60,1,11,successfully
73,1,12,launched
89,1,15,geosynchronous
104,1,16,transfer
113,1,17,orbit
119,1,18,atop
136,1,21,carrier
144,1,22,rocket
152,2,24,Launch
159,2,25,occurred
177,2,28,Ocean
183,2,29,Odyssey
191,2,30,launch
198,2,31,platform
214,2,34,Pacific
222,2,35,Ocean
233,3,38,launch
244,3,40,conducted
257,3,42,Sea
261,3,43,Launch
271,3,46,partnership
291,3,48,companies
304,3,50,Norway
312,3,52,Russia
320,3,54,Ukraine
336,3,57,United
343,3,58,States
351,4,60,Echostar
360,4,61,XI
363,4,62,separated
382,4,65,Block
388,4,66,DM
391,4,68,SL
394,4,69,upper
400,4,70,stage
413,4,73,carrier
421,4,74,rocket
440,4,77,GMT
449,4,80,hour
462,4,83,second
475,4,85,liftoff
484,5,87,It
491,5,89,confirmed
504,5,91,seconds
512,5,92,later
520,6,95,Echostar
529,6,96,XI
537,6,99,commercial
548,6,100,communications
563,6,101,satellite
588,6,106,operated
600,6,108,Echostar
609,6,109,Corporation
625,6,111,DISH
630,6,112,Network
648,7,116,DISH
653,7,117,satellite
669,7,120,launched
690,7,124,lost
700,7,127,launch
707,7,128,failure
715,7,129,involving
729,7,131,upper
735,7,132,stage
748,7,135,Proton
755,7,136,carrier
763,7,137,rocket
771,7,139,earlier
784,7,141,year
794,8,144,satellite
812,8,147,positioned
838,8,153,geosynchronous
853,8,154,transfer
862,8,155,orbit
883,8,159,kilometres
904,8,162,Equator
913,9,164,It
921,9,166,provide
929,9,167,communications
944,9,168,services
956,9,170,North
962,9,171,America
976,10,175,Echostar
985,10,176,XI
988,10,177,spacecraft
1003,10,179,built
1012,10,181,Space
1018,10,182,Systems
1026,10,183,Loral
1040,10,187,based
1061,10,191,satellite
1071,10,192,bus
1076,11,194,It
1085,11,197,mass
1098,11,200,kilograms
1118,11,204,provide
1126,11,205,communications
1152,11,208,NATO
1157,11,209,J
1159,11,211,band
1172,11,215,Ku
1175,11,217,band
1190,11,220,old
1194,11,221,US
1197,11,222,IEEE
1202,11,223,system
1210,12,225,Acquisition
1229,12,228,spacecraft
1242,12,230,signal
1249,12,231,occurred
1267,12,234,GMT
1273,13,237,Speaking
1292,13,240,launch
1300,13,242,newly
1306,13,243,appointed
1316,13,244,Sea
1320,13,245,Launch
1327,13,246,President
1337,13,247,Kjell
1343,13,248,Karlsen
1351,13,249,described
1365,13,251,launch
1376,13,254,perfect
1386,14,257,He
1389,14,258,reported
1407,14,261,satellite
1426,14,264,placed
1441,14,267,orbit
1454,14,270,perigee
1469,14,273,kilometres
1488,14,277,apogee
1504,14,280,km
1508,15,282,He
1516,15,284,remarked
1532,15,287,predecessor
1545,15,289,Rob
1549,15,290,Peckham
1558,15,292,thanking
1580,15,297,unparallelled
1594,15,298,commitment
1609,15,300,dedication
1622,16,303,Rohan
1628,16,304,Zaven
1639,16,307,Vice
1644,16,308,President
1657,16,310,space
1663,16,311,programmes
1677,16,313,DISH
1682,16,314,Network
1690,16,315,thanked
1698,16,316,Sea
1702,16,317,Launch
1717,16,320,launch
1725,16,322,telling
1733,16,323,viewers
1756,16,328,saw
1760,16,329,tonight
1780,16,332,flawless
1789,16,333,mission
1808,16,336,guys
1815,17,339,Zia
1819,17,340,Oboodryat
1833,17,343,Space
1839,17,344,Systems
1847,17,345,Loral
1853,17,346,thanked
1861,17,347,Sea
1865,17,348,Launch
1877,17,351,told
1882,17,352,DISH
1887,17,353,Network
1908,17,358,sure
1924,17,362,deliver
1936,17,364,rest
1956,17,368,years
1963,17,370,expected
1972,17,371,lifetime
1992,18,378,This
2004,18,381,thirty
2011,18,383,fifth
2017,18,384,orbital
2025,18,385,launch
2041,19,389,It
2056,19,393,fourth
2063,19,394,Sea
2067,19,395,Launch
2074,19,396,mission
2089,19,399,year
2103,19,403,fifth
2109,19,404,Zenit
2115,19,405,launch
2123,20,407,It
2138,20,411,overall
2146,20,412,Zenit
2152,20,413,launch
2172,21,418,scheduled
2186,21,420,mid
2190,21,422,late
2195,21,423,August
2212,21,427,Measat
2222,21,429,satellite
2242,21,433,Baikonur
2251,21,434,Cosmodrome
2265,21,436,Kazakhstan
